scaffold_key,hash_prefix_32bit,hash_order_1based,all_n,primary_n,dry_run_partition,dry_run_cv_fold
c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1142572882,178,1,0,cv,3
O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)C2CCNCC2)CC1,1161130408,179,5,4,cv,3
O=c1[nH]c2cnc3cc(-c4cnoc4)ccc3c2n1Cc1ccccn1,1162108293,180,1,1,cv,4
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc2nc(-c3ccccc3)ccc12,1164391052,181,1,1,cv,0
c1ccc2nc(N3CCNCC3)c(Cn3nc(-c4ccc5ncsc5c4)c4cncnc43)cc2c1,1179339633,182,1,1,cv,1
O=c1[nH]c2cccc(CCNCCc3cccc(CNCCc4c[nH]c5ccccc45)c3)c2s1,1192186240,183,1,1,cv,2
O=C1C=C2C(=N1)c1cccc3c(N4CCSCC4)ccc2c13,1194257933,184,1,1,cv,4
O=S(=O)(Nc1ccnn1C1CCSCC1)c1ccccc1,1198813314,185,1,1,cv,0
O=c1[nH]c2cccc(CCNCCSCCCOCCc3ccccc3)c2s1,1199092873,186,1,1,cv,1
O=c1[nH]c2cccc(CCNCCc3ccccc3CNCCc3ccccc3)c2s1,1199551657,187,1,1,cv,2
c1ccc(CSc2ncc3scnc3n2)cc1,1203176640,188,7,5,cv,4
O=C(OC1CC[NH2+]C1)C(c1ccccc1)C1CCCC1,1212558365,189,2,1,cv,0
O=C(CC1CNCCN1c1ccnc(-n2ccnc2)n1)NCc1ccc2c(c1)OCO2,1213614744,190,1,1,cv,1
O=c1cnn(-c2ccccc2)c(=O)[nH]1,1225525073,191,1,1,cv,2
C1=CC(c2ccccc2)C=CN1,1232057043,192,2,1,cv,0
O=c1[nH]c2nc(SCc3cscn3)ncc2s1,1236776271,193,1,0,cv,1
O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)N2CCN(c3ccccc3)CC2)CC1,1237701457,194,1,1,cv,1
O=S(=O)(Nc1nccnc1OCc1ccccc1)c1ccccc1,1252029862,195,1,1,cv,2
O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cccc2[nH]cnc12,1254506532,196,1,1,cv,3
O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1cccc(N2CCOCC2)c1,1260203119,197,1,1,cv,0
c1cn(-c2ccc(Oc3nccc(Oc4ccc5c(c4)OCO5)n3)cc2)cn1,1260851189,198,3,1,cv,1
O=C1CCC(c2ccc3[nH]c(-c4ccccc4)nc3c2)=NN1,1270657947,199,1,1,cv,2
c1ccc(C2=Nc3cnccc3NCC2)cc1,1272242683,200,1,1,cv,3
c1ccc(CNc2[nH]nc3cccc(Oc4ccccc4)c23)cc1,1277339261,201,4,4,cv,0
O=C(OC1C[N+]2(CCc3c[nH]c4ccccc34)CCC1CC2)C(c1ccccc1)N1CCCCC1,1285825880,202,1,1,cv,1
O=c1[nH]c2cccc(CCNCCc3ccc(-c4ccccc4CNCc4ccccc4)cc3)c2s1,1286307757,203,1,1,cv,2
c1ccc(-c2cn(-c3ccccc3)c3ncncc23)cc1,1287535677,204,1,1,cv,3
O=C(NCC1CCCCN1)c1ccccc1,1289362088,205,1,0,cv,1
c1ccc(C2=NNC(c3ccccc3)C2)cc1,1298686249,206,2,2,cv,1
O=C(C=Cc1ccccc1)c1ccccc1,1300709923,207,1,0,cv,2
c1ccc(Nc2cnnc3ccc(N4CCNCC4)cc23)cc1,1302241133,208,1,1,cv,2
c1ccc(-c2cccc3sccc23)cc1,1315673650,209,1,1,cv,3
O=C(Cc1ccccc1)N(Cc1cccnc1)Cc1nc2ccccc2c(=O)n1-c1ccccc1,1316541768,210,1,1,cv,4
O=C(NCc1ccccc1)C1CCCCC1C(=O)N1CCN(Cc2ccccc2)CC1,1357567998,211,1,1,cv,2
O=c1c2sc(-c3ccccc3)cc2ncn1-c1ccc(OCCC2CC2)cc1,1358154896,212,1,0,cv,3
O=C(c1ccccc1)N1CCC(Nc2ccccn2)CC1,1358473897,213,2,0,cv,3
c1ccc(OCc2ccccc2-c2ccccc2)cc1,1369324419,214,1,0,cv,3
O=C(Nc1ccccc1)C1c2ccccc2CN1Cc1ccccc1,1371039565,215,1,1,cv,3
O=C(NC1CC1)C1CCCCC1C(=O)N1CCN(c2nccs2)CC1,1377541952,216,3,2,cv,4
O=C(NCCCSCC1CCC(n2cnc3cncnc32)O1)Nc1ccccc1,1393688506,217,3,3,cv,1
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(-n2ncc(=O)[nH]c2=O)c1,1396214760,218,1,1,cv,2
O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1,1396392425,219,1,0,cv,3
O=C(Nc1nccs1)c1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1,1397489438,220,1,1,cv,3
O=c1[nH]c(=O)c2nc[nH]c2[nH]1,1407146193,221,1,1,cv,0
O=C(NC1CCCC1)C(c1ccccc1)N(C(=O)c1ccco1)c1ccccc1,1410521298,222,1,0,cv,2
O=C(NCCN1CCN(Cc2ccccc2)CC1)c1ccccc1,1411173747,223,1,1,cv,2
c1ccc(Cc2cncnc2)cc1,1413505733,224,1,0,cv,3
O=c1[nH]c(=O)n(CC2COc3ccccc3O2)c2ccsc12,1419121987,225,1,0,cv,3
c1cnccn1,1440286039,226,1,0,cv,3
O=C(CCS(=O)(=O)c1cccs1)Nc1ccccc1,1446890130,227,1,1,cv,3
O=C1N(c2ccccc2)Cc2cncnc2N1Cc1ccccc1,1450441483,228,1,1,cv,4
c1ccc2[nH]cnc2c1,1450709430,229,2,1,cv,0
c1ccc(CNc2cncc(Nc3cc(C4CC4)[nH]n3)n2)nc1,1451220355,230,1,1,cv,2
O=C1COc2ccc(-c3ccnn3-c3ccccc3)cc2N1,1453274419,231,1,1,cv,3
O=C(Cc1ccccc1)OC1CC[NH2+]CC1,1456649253,232,1,0,cv,4
C=C1c2ccccc2CCc2ccccc21,1459169935,233,1,0,cv,4
c1ccc2c(c1)Sc1ccccc1N2CCC1CCCCN1,1467783871,234,1,1,cv,4
O=S(=O)(Nc1cnnn1-c1ccccc1)c1ccccc1,1471994735,235,1,1,cv,0
O=C(CSc1nnc(-c2ccc3[nH]ccc3c2)o1)N1CCCc2ccccc21,1481356423,236,1,0,cv,1
c1ccc(CNc2ncnc3ccsc23)cc1,1483055082,237,3,1,cv,1
O=c1cc2n(c3cc(N4CCNCC4)ccc13)CS2,1485883667,238,1,1,cv,2
O=C1N(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C=NC12CCCC2,1498297960,239,1,1,cv,3
c1ccc2scnc2c1,1510355122,240,2,2,cv,4
c1ccc(-c2nc3ncccc3o2)cc1,1510572282,241,1,0,cv,0
O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1ccccc1,1524265835,242,1,1,cv,0
O=S(=O)(NC1CCN(Cc2ccc(-c3ccccc3)cc2)C1)c1ccccc1,1537841518,243,1,1,cv,1
O=C1Nc2ccccc2BN1c1ccccc1,1543126493,244,1,1,cv,2
O=c1[nH]c(-c2ccccc2)nc2ccccc12,1545716765,245,1,1,cv,3
c1ccc(NC2CCNCC2)nc1,1556850691,246,2,2,cv,0
O=C(NCc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1557873416,247,4,3,cv,1
O=S(=O)(NCCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,1559180928,248,1,1,cv,2
O=C(c1ccco1)N(Cc1ccccc1)c1ccccc1,1559722428,249,4,4,cv,3
O=C(NCCCNc1ccnc2[nH]c(-c3ccccc3)nc12)C1CCC1,1560623067,250,1,0,cv,4
c1cc(C2CCN(c3ccc4nncn4n3)CC2)ccc1OCCN1CCNCC1,1561068162,251,2,1,cv,4
O=c1[nH]c2cccc(CCNCCOc3cccc(CNCCc4ccccc4)c3)c2s1,1565350665,252,1,1,cv,2
c1ccc(Cn2ncc3ccccc32)cc1,1579130909,253,1,1,cv,4
c1ccc(CCOCC2CC2)cc1,1580800989,254,1,0,cv,0
O=c1c2cc(-c3ccccc3)ccc2ncn1CC1CCCNC1,1584484197,255,2,1,cv,0
O=C(Nc1nccs1)C(CC1CCCC1)c1ccccc1,1586555116,256,2,2,cv,2
c1ccc(CNc2ncc3ncn(Cc4ccccc4)c3n2)cc1,1598895192,257,1,1,cv,4
O=C(CCc1c[nH]cn1)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,1599172931,258,1,1,cv,0
c1ccc(NCc2ccco2)cc1,1622701691,259,1,1,cv,1
c1ccc(CCOc2ccccc2)cc1,1632935942,260,1,1,cv,4
c1ccc(C(Cc2cccc3ccccc23)c2cnc3ccccc3c2)cc1,1634607031,261,1,1,cv,0
O=C(c1c(Cn2cnc3ccccc32)sc2[nH]c(=O)[nH]c(=O)c12)N1CCCO1,1637805607,262,1,1,cv,1
O=C(NCc1nc2ccccc2[nH]1)c1cc2ccccc2o1,1652587834,263,1,1,cv,2
O=C(CSc1nnc(-c2cccnc2)[nH]1)Nc1ccon1,1653008652,264,1,1,cv,3
O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1,1672179693,265,1,1,cv,4
