claim_id,claim,artefact_path,artefact_sha256,originating_commit,tool,execution_evidence,deterministic_check,result,classification,confidence,notes
RFD_rfdiffusion_bipd_test_hotspots_design_3_Xt-1_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_Xt-1_traj.pdb,0fb6926dae7965c8b0428a5bd196f846a15e8d7aed11c6359a92a9918759a0f0,002eb66,RFdiffusion,Files present,Hash computed,Size 7501480,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_4.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4.pdb,ba2ba6477b51f733ff0c15123abb1a8a3cb899fb379b5664bf674caf6c7eaa03,002eb66,RFdiffusion,Files present,Hash computed,Size 360007,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_4_pX0_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4_pX0_traj.pdb,31332b290eccd2eaba0547e79b39192f22ffe48615e96584b73e9c40f61d54c2,002eb66,RFdiffusion,Files present,Hash computed,Size 7524600,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_4_Xt-1_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4_Xt-1_traj.pdb,f257db134670c8ec32a4e0a1478b5a30b943becfa6af2cd51f0a64b79d12bb08,002eb66,RFdiffusion,Files present,Hash computed,Size 7367996,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_TRWM_design_0.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0.pdb,9f5806b765e947ed63dd5b13b822a72b6d6fe2d9e5cd768f4a492b93312d89d0,002eb66,RFdiffusion,Files present,Hash computed,Size 377801,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_TRWM_design_0_pX0_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0_pX0_traj.pdb,5e92d755e293c37656c291bbb0a0d3400402dc2adb3000a66513348f7054d614,002eb66,RFdiffusion,Files present,Hash computed,Size 7946200,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_TRWM_design_0_Xt-1_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0_Xt-1_traj.pdb,46cf670056ace924c5270e81a18fce9f8e85c414f02114153986c776d53c449e,002eb66,RFdiffusion,Files present,Hash computed,Size 7686304,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_0.trb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0.trb,435b3bb9e139269030a53d16e5c41b70b7ed25d90e5e181141d46f7ae8dac157,002eb66,RFdiffusion,Files present,Hash computed,Size 95263,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_1.trb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1.trb,3f48fda1555f28f0cb8fe90cc888be8411073517a527b36bfb5f9c20979431ea,002eb66,RFdiffusion,Files present,Hash computed,Size 102979,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_2.trb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2.trb,81784f739100cb3b4c1543dd538ef07d98348f9b09b3a4b8cfa38294054c778c,002eb66,RFdiffusion,Files present,Hash computed,Size 94857,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_3.trb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3.trb,bb839a2672dc530f201d53923bb962f345ca4f1eef4d0a03a45e8ecde5d2dc96,002eb66,RFdiffusion,Files present,Hash computed,Size 92624,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_4.trb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4.trb,b91f86641d6733e1b38713ddeb525948f0877c3cac732dd0452ec0f885b2cc71,002eb66,RFdiffusion,Files present,Hash computed,Size 89985,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_TRWM_design_0.trb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0.trb,5eed390df901076546787d06921ef3ebf633e138060bf15db8112916ff3b899c,002eb66,RFdiffusion,Files present,Hash computed,Size 96286,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
MPNN_rfdiffusion_bipd_test_hotspots_design_0.fa,ProteinMPNN sequences generated,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_0.fa,2563c90cfe5aabf794bb95c33b39ac803d0c0b2dfe7f06b68df82b49c0eeef84,4f9c4ce,ProteinMPNN,FASTA file present,Parsed 3 sequences,Valid FASTA,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,Metadata extracted
MPNN_rfdiffusion_bipd_test_hotspots_design_1.fa,ProteinMPNN sequences generated,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_1.fa,c58f65ffdf96e2d8df0849250e99b93d6aeb45090f1a77b4f4be5b54bb817f07,4f9c4ce,ProteinMPNN,FASTA file present,Parsed 3 sequences,Valid FASTA,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,Metadata extracted
MPNN_rfdiffusion_bipd_test_hotspots_design_2.fa,ProteinMPNN sequences generated,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_2.fa,755e812e6e3314734c7015cd82edf44e01f2151f579d4a50a10285282a54ff89,4f9c4ce,ProteinMPNN,FASTA file present,Parsed 3 sequences,Valid FASTA,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,Metadata extracted
MPNN_rfdiffusion_bipd_test_hotspots_design_3.fa,ProteinMPNN sequences generated,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_3.fa,7e93b1be55df0a9f777944a7d2a17156ed2b4f576ac5caa8eb7b596e839744c3,4f9c4ce,ProteinMPNN,FASTA file present,Parsed 3 sequences,Valid FASTA,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,Metadata extracted
MPNN_rfdiffusion_bipd_test_hotspots_design_4.fa,ProteinMPNN sequences generated,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_4.fa,7805938338b729feda012ffc01a9ca9a7c5bc1a45fe73aa73b6fa52ddabb89aa,4f9c4ce,ProteinMPNN,FASTA file present,Parsed 3 sequences,Valid FASTA,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,Metadata extracted
ESM_folded_design_0_seq_1.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_0_seq_1.pdb,0e98f9970741858d9753c72b299eed70c8f5e290f12038c3c0c591e53301d605,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_0_seq_2.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_0_seq_2.pdb,6bdfa2ca36b4474d637da75ca2872f6102b523f95c28466f291721c636545b8b,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_1_seq_1.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_1_seq_1.pdb,b33de01ca82cf1bd41bc76687aed08d2ed5bbc077b68bae35205403fabbdb47a,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_1_seq_2.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_1_seq_2.pdb,8cd1ee882be2643aa1092fc9f75b4f78d1d4058a79a929675559b1d1417ec8bc,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_2_seq_1.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_2_seq_1.pdb,3915cdde036ba5e1f5bc0964d9c3ff2bd8b58d79304b98f591143e0ffce5a3ba,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_2_seq_2.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_2_seq_2.pdb,aa0177f74cead13f8402f4fd400a5816b1ae0093eddff41748e00562353c6f96,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_3_seq_1.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_3_seq_1.pdb,2aaae15210093b47fbb17efa6f18bf9ebae6e8a829eb881d9fbd61ffab69e872,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_3_seq_2.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_3_seq_2.pdb,f6d5c07fb1d33d76a39580ad1ba942c92fc7bc6eaf83b96c9068021680ad8c38,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_4_seq_1.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_4_seq_1.pdb,63f5d86028b0b487ee365ab2ed24835b54ff0e0cc5458f2d4c4aa8f6b47ea058,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
ESM_folded_design_4_seq_2.pdb,ESMFold generated structure,amina_results/bipd_folded_binders/folded_design_4_seq_2.pdb,942040df3c3f2a52b74f5d0999eaabe59b6543574dae2c6ecc1a2abaeafcb032,2534ec9,ESMFold,PDB file present,PDB Parser,Valid PDB,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RMSD_0.688,ESMFold 0.688 Å RMSD structural validation proof,N/A,N/A,N/A,Local Deterministic Check,Recomputed RMSD,Bio.PDB.Superimposer CA alignment,FAILED,UNVERIFIED_CLAIM,HIGH,Compared with N/A
BOLTZ_OUTPUT,Boltz-2 complex validation,amina_results/bipd_initial/boltz2_bipd_boltz2_pred_structure.pdb,c80587022cb287e19dfb52fcce6c0417b52d45deba9029e735fefe39d4a532ac,93a4078,Boltz,File exists,Hash comparison with scaffold,Genuine,DOCUMENTED_NOT_RECOMPUTED,HIGH,
