molecule_chembl_id,canonical_smiles_rdkit,standard_value_hlm,standard_relation_hlm,standard_value_hh,standard_relation_hh,class_hlm,class_hh,is_hlm_ambiguous_at_3,log10_hlm,log10_hh
CHEMBL203059,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,12.59,,16.22,,IN-RANGE,IN-RANGE,False,1.1000257301078626,1.2100508498751372
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,13.49,,5.62,,IN-RANGE,IN-RANGE,False,1.1300119496719043,0.7497363155690611
CHEMBL257025,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]ncc12,14.0,,17.78,,IN-RANGE,IN-RANGE,False,1.146128035678238,1.249931756634195
CHEMBL1829763,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCO)(c2ccc(F)cc2)OC1=O,14.13,,3.72,,IN-RANGE,IN-RANGE,False,1.1501421618485586,0.5705429398818975
CHEMBL1929039,Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,14.45,,10.72,,IN-RANGE,IN-RANGE,False,1.1598678470925667,1.0301947853567512
CHEMBL1463345,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,14.45,,6.61,,IN-RANGE,IN-RANGE,False,1.1598678470925667,0.8202014594856403
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,15.14,,6.76,,IN-RANGE,IN-RANGE,False,1.180125875164054,0.829946695941636
CHEMBL957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,15.14,,4.79,,IN-RANGE,IN-RANGE,False,1.180125875164054,0.6803355134145632
CHEMBL578194,C[C@H](Nc1nc(Nc2cc(C3CC3)[nH]n2)cnc1C#N)c1ccc(F)cn1,17.38,,7.94,,IN-RANGE,IN-RANGE,False,1.2400497721126476,0.8998205024270963
CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,17.78,,10.47,,IN-RANGE,IN-RANGE,False,1.249931756634195,1.0199466816788423
CHEMBL2070950,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccncc4s3)CC2)CC1,17.78,,4.9,,IN-RANGE,IN-RANGE,False,1.249931756634195,0.6901960800285137
CHEMBL12610,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,17.78,,7.76,,IN-RANGE,IN-RANGE,False,1.249931756634195,0.8898617212581884
CHEMBL235789,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl,18.0,,4.46,,IN-RANGE,IN-RANGE,False,1.255272505103306,0.6493348587121419
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,18.62,,7.41,,IN-RANGE,IN-RANGE,False,1.2699796766453237,0.8698182079793282
CHEMBL565755,CCOc1ccc2nc(N)sc2c1,19.95,,12.02,,IN-RANGE,IN-RANGE,False,1.299942900022767,1.0799044676667207
CHEMBL141157,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,20.89,,38.02,,IN-RANGE,IN-RANGE,False,1.3199384399803087,1.5800121125294244
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,21.88,,5.25,,IN-RANGE,IN-RANGE,False,1.3400473176613932,0.7201593034059569
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,22.0,,14.45,,IN-RANGE,IN-RANGE,False,1.3424226808222062,1.1598678470925667
CHEMBL217899,CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,22.0,,6.0,,IN-RANGE,IN-RANGE,False,1.3424226808222062,0.7781512503836436
CHEMBL1800526,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,23.5,,3.2,,IN-RANGE,IN-RANGE,False,1.3710678622717363,0.505149978319906
CHEMBL583042,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,25.12,,8.51,,IN-RANGE,IN-RANGE,False,1.4000196350651586,0.9299295600845878
CHEMBL1835918,Cc1ccc(N2CC(COc3ccc(-c4noc(C)n4)cc3)C2)nn1,26.33,,26.41,,IN-RANGE,IN-RANGE,False,1.420450859106068,1.421768401206924
CHEMBL1734492,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,27.54,,13.8,,IN-RANGE,IN-RANGE,False,1.4399639359209049,1.1398790864012365
CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,29.51,,66.07,,IN-RANGE,IN-RANGE,False,1.4699692094999595,1.8200043068083178
CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,30.0,,14.0,,IN-RANGE,IN-RANGE,False,1.4771212547196624,1.146128035678238
CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,30.13,,10.96,,IN-RANGE,IN-RANGE,False,1.478999131673357,1.0398105541483504
CHEMBL2062774,CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12,30.2,,29.51,,IN-RANGE,IN-RANGE,False,1.4800069429571505,1.4699692094999595
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,30.5,,13.8,,IN-RANGE,IN-RANGE,False,1.4842998393467859,1.1398790864012365
CHEMBL380947,CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,31.0,,5.88,,IN-RANGE,IN-RANGE,False,1.4913616938342726,0.7693773260761385
CHEMBL1091137,CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,33.88,,54.95,,IN-RANGE,IN-RANGE,False,1.5299434016586693,1.7399676967595095
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,34.67,,12.59,,IN-RANGE,IN-RANGE,False,1.5399538416563967,1.1000257301078626
CHEMBL833,Clc1ccccc1CN1CCc2sccc2C1,35.0,,56.23,,IN-RANGE,IN-RANGE,False,1.5440680443502757,1.749968083509403
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,37.15,,14.45,,IN-RANGE,IN-RANGE,False,1.569958818096594,1.1598678470925667
CHEMBL46740,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,38.02,,17.78,,IN-RANGE,IN-RANGE,False,1.5800121125294244,1.249931756634195
CHEMBL1916282,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,39.83,,6.99,,IN-RANGE,IN-RANGE,False,1.600210306409328,0.8444771757456814
CHEMBL2326624,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@@H]2COCCN2)c1,40.5,,20.0,,IN-RANGE,IN-RANGE,False,1.6074550232146685,1.3010299956639813
CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,41.69,,26.3,,IN-RANGE,IN-RANGE,False,1.6200318951262973,1.4199557484897578
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,43.65,,9.33,,IN-RANGE,IN-RANGE,False,1.6399842480415885,0.9698816437465
CHEMBL841,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,45.71,,13.8,,IN-RANGE,IN-RANGE,False,1.6600112212893308,1.1398790864012365
CHEMBL2137199,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,48.98,,8.71,,IN-RANGE,IN-RANGE,False,1.6900187807886953,0.9400181550076633
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,48.98,,28.18,,IN-RANGE,IN-RANGE,False,1.6900187807886953,1.4499409887733377
CHEMBL2018969,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,50.0,,40.0,,IN-RANGE,IN-RANGE,False,1.6989700043360187,1.6020599913279623
CHEMBL2349318,CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12,52.48,,22.39,,IN-RANGE,IN-RANGE,False,1.7199938263676038,1.3500540935790302
CHEMBL2147032,O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cccnc5c4)cc3)CC2)CN1C1CC1,56.23,,9.12,,IN-RANGE,IN-RANGE,False,1.749968083509403,0.9599948383284161
CHEMBL2326623,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@H]2COCCN2)c1,58.5,,16.0,,IN-RANGE,IN-RANGE,False,1.7671558660821804,1.2041199826559248
CHEMBL1645392,Cc1noc(C)c1-c1ccc(CNS(=O)(=O)c2c(C)noc2C)cc1,60.26,,19.05,,IN-RANGE,IN-RANGE,False,1.7800291273373383,1.2798949800116382
CHEMBL380732,CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,62.0,,5.16,,IN-RANGE,IN-RANGE,False,1.792391689498254,0.7126497016272114
CHEMBL1947157,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,63.0,,5.17,,IN-RANGE,IN-RANGE,False,1.7993405494535817,0.7134905430939426
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,66.5,,87.1,,IN-RANGE,IN-RANGE,False,1.8228216453031045,1.9400181550076632
CHEMBL2181753,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)NCc1ccccc1,67.61,,25.12,,IN-RANGE,IN-RANGE,False,1.8300109359361179,1.4000196350651586
CHEMBL1807820,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCOCCc3cccc4ccccc34)c2s1,70.0,,14.78,,IN-RANGE,IN-RANGE,False,1.845098040014257,1.169674434058807
CHEMBL1213118,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1,72.0,,7.59,,IN-RANGE,IN-RANGE,False,1.8573324964312685,0.8802417758954804
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,79.0,,26.92,,IN-RANGE,IN-RANGE,False,1.8976270912904414,1.4300750555519393
CHEMBL551170,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,83.83,,37.0,,IN-RANGE,IN-RANGE,False,1.9233994661587164,1.568201724066995
CHEMBL360227,CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,93.33,,11.48,,IN-RANGE,IN-RANGE,False,1.9700212658283658,1.0599418880619547
CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,95.5,,34.67,,IN-RANGE,IN-RANGE,False,1.9800033715837464,1.5399538416563967
CHEMBL2181927,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,97.72,,4.68,,IN-RANGE,IN-RANGE,False,1.989983458301399,0.670245853074124
CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,104.71,,40.74,,IN-RANGE,IN-RANGE,False,2.019988159591285,1.6100210246641453
CHEMBL82663,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1,111.0,,42.5,,IN-RANGE,IN-RANGE,False,2.0453229787866576,1.6283889300503116
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,116.0,,38.9,,IN-RANGE,IN-RANGE,False,2.0644579892269186,1.5899496013257077
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,124.0,,42.66,,IN-RANGE,IN-RANGE,False,2.093421685162235,1.63002085111341
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,127.7,,26.3,,IN-RANGE,IN-RANGE,False,2.1061908972634154,1.4199557484897578
CHEMBL402501,C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c1ccc(O)c(CO)c1,129.0,,21.9,,IN-RANGE,IN-RANGE,False,2.110589710299249,1.3404441148401183
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,131.83,,16.6,,IN-RANGE,IN-RANGE,False,2.120014252078067,1.2201080880400552
CHEMBL1916271,CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,137.0,,9.5,,IN-RANGE,IN-RANGE,False,2.1367205671564067,0.9777236052888477
CHEMBL1194325,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,140.0,,64.0,,IN-RANGE,IN-RANGE,False,2.146128035678238,1.806179973983887
CHEMBL1800659,CCCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,141.0,,25.92,,IN-RANGE,IN-RANGE,False,2.1492191126553797,1.4136349971985558
CHEMBL271012,C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2[nH]c(=O)sc12,3.0,,30.12,,IN-RANGE,IN-RANGE,True,0.47712125471966244,1.478854967528663
CHEMBL552512,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12,3.0,,3.4,,IN-RANGE,IN-RANGE,True,0.47712125471966244,0.5314789170422551
