molecule_chembl_id,canonical_smiles_rdkit,standard_value_hlm,standard_relation_hlm,standard_value_hh,standard_relation_hh,class_hlm,class_hh,is_hlm_ambiguous_at_3
CHEMBL1917459,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL1917458,CCS(=O)(=O)c1ccc(Oc2c(C)n(CC(=O)O)c3ccc(C(F)(F)F)cc23)cc1,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL1689137,C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1S(=O)(=O)Cc1ccccc1,3.0,<,8.7,,BELOW,IN-RANGE,False
CHEMBL1689135,C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,3.0,<,13.5,,BELOW,IN-RANGE,False
CHEMBL1773254,O=C(O)CCc1ccc(OCc2cccc(Br)c2)cc1,3.0,<,128.82,,BELOW,IN-RANGE,False
CHEMBL956,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,3.0,<,9.77,,BELOW,IN-RANGE,False
CHEMBL1761322,CCS(=O)(=O)CCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL1689109,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,3.6,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1020,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,4.0,,9.12,,IN-RANGE,IN-RANGE,False
CHEMBL402986,C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,4.0,,19.45,,IN-RANGE,IN-RANGE,False
CHEMBL2158839,O=C(O)[C@H](Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,4.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4.0,,3.46,,IN-RANGE,IN-RANGE,False
CHEMBL1355736,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,4.79,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1688458,O=C(O)CCc1ccc(OCc2cccc(Oc3ccccc3)c2)cc1,4.9,,150.0,>,IN-RANGE,ABOVE,False
CHEMBL1807823,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3ccccc3)c2s1,5.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL196707,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,5.0,,7.9,,IN-RANGE,IN-RANGE,False
CHEMBL1689111,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,5.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL2057372,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,5.0,,3.39,,IN-RANGE,IN-RANGE,False
CHEMBL2057371,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,5.0,,4.79,,IN-RANGE,IN-RANGE,False
CHEMBL1916288,Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C#N)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,5.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1689119,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,5.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,5.25,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1939560,C[C@H](c1nc2ncccc2c(=O)n1-c1ccc(Cl)cc1)N(CC1CCS(=O)(=O)CC1)C(=O)Cc1ccc(C(F)(F)F)c(F)c1,5.25,,5.13,,IN-RANGE,IN-RANGE,False
CHEMBL1829174,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,5.5,,5.25,,IN-RANGE,IN-RANGE,False
CHEMBL2158785,Cc1c(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(C#N)c1Cl,5.5,,3.0,<,IN-RANGE,BELOW,False
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,5.75,,6.17,,IN-RANGE,IN-RANGE,False
CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,5.75,,3.89,,IN-RANGE,IN-RANGE,False
CHEMBL205078,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,6.03,,14.79,,IN-RANGE,IN-RANGE,False
CHEMBL256668,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)cnc12,6.18,,23.22,,IN-RANGE,IN-RANGE,False
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,6.31,,3.0,<,IN-RANGE,BELOW,False
CHEMBL782,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.31,,6.31,,IN-RANGE,IN-RANGE,False
CHEMBL1689110,O=C(O)COc1ccc(C(F)(F)F)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,6.33,,3.0,<,IN-RANGE,BELOW,False
CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,6.46,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1088752,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,6.92,,3.8,,IN-RANGE,IN-RANGE,False
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,7.0,,5.25,,IN-RANGE,IN-RANGE,False
CHEMBL1779512,COC[C@@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,7.5,,3.0,<,IN-RANGE,BELOW,False
CHEMBL2017291,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,7.59,,3.24,,IN-RANGE,IN-RANGE,False
CHEMBL1256967,CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,7.94,,3.0,<,IN-RANGE,BELOW,False
CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,7.94,,4.57,,IN-RANGE,IN-RANGE,False
CHEMBL1807827,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3cccc(Cl)c3)c2s1,8.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL232846,C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2nc(N)sc12,8.13,,5.75,,IN-RANGE,IN-RANGE,False
CHEMBL272705,C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12,8.28,,27.3,,IN-RANGE,IN-RANGE,False
CHEMBL403225,C[C@H](CO)Nc1nc(SCc2cccc(Cl)c2F)nc2[nH]c(=O)sc12,8.67,,19.91,,IN-RANGE,IN-RANGE,False
CHEMBL403313,CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,8.86,,44.0,,IN-RANGE,IN-RANGE,False
CHEMBL1363,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,9.0,,3.91,,IN-RANGE,IN-RANGE,False
CHEMBL1807821,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3ccccc3)c2s1,9.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1346,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,9.5,,5.05,,IN-RANGE,IN-RANGE,False
CHEMBL1916289,Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,10.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,10.0,,150.0,>,IN-RANGE,ABOVE,False
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,10.47,,6.92,,IN-RANGE,IN-RANGE,False
CHEMBL1807829,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3cccc(Cl)c3Cl)c2s1,10.5,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1834184,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,10.96,,4.57,,IN-RANGE,IN-RANGE,False
CHEMBL1689117,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,11.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL370492,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,11.22,,38.9,,IN-RANGE,IN-RANGE,False
CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,12.02,,16.98,,IN-RANGE,IN-RANGE,False
CHEMBL2141746,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,12.59,,3.0,<,IN-RANGE,BELOW,False
CHEMBL203059,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,12.59,,16.22,,IN-RANGE,IN-RANGE,False
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,13.49,,5.62,,IN-RANGE,IN-RANGE,False
CHEMBL257025,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]ncc12,14.0,,17.78,,IN-RANGE,IN-RANGE,False
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,14.13,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1829763,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCO)(c2ccc(F)cc2)OC1=O,14.13,,3.72,,IN-RANGE,IN-RANGE,False
CHEMBL1929039,Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,14.45,,10.72,,IN-RANGE,IN-RANGE,False
CHEMBL1463345,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,14.45,,6.61,,IN-RANGE,IN-RANGE,False
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,15.14,,6.76,,IN-RANGE,IN-RANGE,False
CHEMBL957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,15.14,,4.79,,IN-RANGE,IN-RANGE,False
CHEMBL1944691,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4ccccc4F)c3)c2s1,17.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL578194,C[C@H](Nc1nc(Nc2cc(C3CC3)[nH]n2)cnc1C#N)c1ccc(F)cn1,17.38,,7.94,,IN-RANGE,IN-RANGE,False
CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,17.78,,10.47,,IN-RANGE,IN-RANGE,False
CHEMBL2070950,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccncc4s3)CC2)CC1,17.78,,4.9,,IN-RANGE,IN-RANGE,False
CHEMBL12610,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,17.78,,7.76,,IN-RANGE,IN-RANGE,False
CHEMBL235789,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl,18.0,,4.46,,IN-RANGE,IN-RANGE,False
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,18.62,,7.41,,IN-RANGE,IN-RANGE,False
CHEMBL565755,CCOc1ccc2nc(N)sc2c1,19.95,,12.02,,IN-RANGE,IN-RANGE,False
CHEMBL141157,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,20.89,,38.02,,IN-RANGE,IN-RANGE,False
CHEMBL1405150,CCC(=O)NC(c1cccs1)c1cc(Cl)c2cccnc2c1O,21.38,,150.0,>,IN-RANGE,ABOVE,False
CHEMBL2207669,N#Cc1ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)cc1Cl,21.5,,3.0,<,IN-RANGE,BELOW,False
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,21.88,,5.25,,IN-RANGE,IN-RANGE,False
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,22.0,,14.45,,IN-RANGE,IN-RANGE,False
CHEMBL217899,CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,22.0,,6.0,,IN-RANGE,IN-RANGE,False
CHEMBL1800526,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,23.5,,3.2,,IN-RANGE,IN-RANGE,False
CHEMBL1916272,CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,23.6,,3.0,<,IN-RANGE,BELOW,False
CHEMBL1945033,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4ccccn4)c3)c2s1,25.0,,3.0,<,IN-RANGE,BELOW,False
CHEMBL583042,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,25.12,,8.51,,IN-RANGE,IN-RANGE,False
CHEMBL1835918,Cc1ccc(N2CC(COc3ccc(-c4noc(C)n4)cc3)C2)nn1,26.33,,26.41,,IN-RANGE,IN-RANGE,False
CHEMBL1734492,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,27.54,,13.8,,IN-RANGE,IN-RANGE,False
CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,29.51,,66.07,,IN-RANGE,IN-RANGE,False
CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,30.0,,14.0,,IN-RANGE,IN-RANGE,False
CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,30.13,,10.96,,IN-RANGE,IN-RANGE,False
CHEMBL2062774,CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12,30.2,,29.51,,IN-RANGE,IN-RANGE,False
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,30.5,,13.8,,IN-RANGE,IN-RANGE,False
CHEMBL380947,CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,31.0,,5.88,,IN-RANGE,IN-RANGE,False
CHEMBL1091137,CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,33.88,,54.95,,IN-RANGE,IN-RANGE,False
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,34.67,,12.59,,IN-RANGE,IN-RANGE,False
CHEMBL833,Clc1ccccc1CN1CCc2sccc2C1,35.0,,56.23,,IN-RANGE,IN-RANGE,False
CHEMBL2216859,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,35.48,,3.0,<,IN-RANGE,BELOW,False
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,37.15,,14.45,,IN-RANGE,IN-RANGE,False
CHEMBL46740,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,38.02,,17.78,,IN-RANGE,IN-RANGE,False
CHEMBL1916282,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,39.83,,6.99,,IN-RANGE,IN-RANGE,False
CHEMBL2326624,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@@H]2COCCN2)c1,40.5,,20.0,,IN-RANGE,IN-RANGE,False
CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,41.69,,26.3,,IN-RANGE,IN-RANGE,False
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,43.65,,9.33,,IN-RANGE,IN-RANGE,False
CHEMBL2018964,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(C)=O)c1,44.0,,150.0,>,IN-RANGE,ABOVE,False
CHEMBL841,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,45.71,,13.8,,IN-RANGE,IN-RANGE,False
CHEMBL2137199,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,48.98,,8.71,,IN-RANGE,IN-RANGE,False
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,48.98,,28.18,,IN-RANGE,IN-RANGE,False
CHEMBL2018969,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,50.0,,40.0,,IN-RANGE,IN-RANGE,False
CHEMBL2349318,CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12,52.48,,22.39,,IN-RANGE,IN-RANGE,False
CHEMBL2147032,O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cccnc5c4)cc3)CC2)CN1C1CC1,56.23,,9.12,,IN-RANGE,IN-RANGE,False
CHEMBL2326623,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@H]2COCCN2)c1,58.5,,16.0,,IN-RANGE,IN-RANGE,False
CHEMBL1645392,Cc1noc(C)c1-c1ccc(CNS(=O)(=O)c2c(C)noc2C)cc1,60.26,,19.05,,IN-RANGE,IN-RANGE,False
CHEMBL380732,CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,62.0,,5.16,,IN-RANGE,IN-RANGE,False
CHEMBL1947157,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,63.0,,5.17,,IN-RANGE,IN-RANGE,False
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,66.5,,87.1,,IN-RANGE,IN-RANGE,False
CHEMBL2181753,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)NCc1ccccc1,67.61,,25.12,,IN-RANGE,IN-RANGE,False
CHEMBL1807820,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCOCCc3cccc4ccccc34)c2s1,70.0,,14.78,,IN-RANGE,IN-RANGE,False
CHEMBL1213118,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1,72.0,,7.59,,IN-RANGE,IN-RANGE,False
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,79.0,,26.92,,IN-RANGE,IN-RANGE,False
CHEMBL551170,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,83.83,,37.0,,IN-RANGE,IN-RANGE,False
CHEMBL360227,CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,93.33,,11.48,,IN-RANGE,IN-RANGE,False
CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,95.5,,34.67,,IN-RANGE,IN-RANGE,False
CHEMBL2181927,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,97.72,,4.68,,IN-RANGE,IN-RANGE,False
CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,104.71,,40.74,,IN-RANGE,IN-RANGE,False
CHEMBL82663,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1,111.0,,42.5,,IN-RANGE,IN-RANGE,False
CHEMBL2147033,O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cnccc5c4)cc3)CC2)CN1C1CC1,114.82,,150.0,>,IN-RANGE,ABOVE,False
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,116.0,,38.9,,IN-RANGE,IN-RANGE,False
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,124.0,,42.66,,IN-RANGE,IN-RANGE,False
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,127.7,,26.3,,IN-RANGE,IN-RANGE,False
CHEMBL402501,C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c1ccc(O)c(CO)c1,129.0,,21.9,,IN-RANGE,IN-RANGE,False
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,131.83,,16.6,,IN-RANGE,IN-RANGE,False
CHEMBL1916271,CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,137.0,,9.5,,IN-RANGE,IN-RANGE,False
CHEMBL1194325,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,140.0,,64.0,,IN-RANGE,IN-RANGE,False
CHEMBL1800659,CCCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,141.0,,25.92,,IN-RANGE,IN-RANGE,False
CHEMBL2181926,CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)[C@H]1c1cccc2c(=O)cc(C)oc12,150.0,>,45.71,,ABOVE,IN-RANGE,False
CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],150.0,>,22.39,,ABOVE,IN-RANGE,False
CHEMBL570015,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,150.0,>,20.05,,ABOVE,IN-RANGE,False
CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,150.0,>,25.7,,ABOVE,IN-RANGE,False
CHEMBL1938400,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,150.0,>,25.12,,ABOVE,IN-RANGE,False
CHEMBL1575409,COc1ccc(CNC(=O)CSc2nc3cccnc3s2)cc1,150.0,>,60.26,,ABOVE,IN-RANGE,False
CHEMBL682,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,150.0,>,32.36,,ABOVE,IN-RANGE,False
CHEMBL1874317,N#CCC(CNc1ncc(C(F)(F)F)cc1Cl)OC(=O)c1c(F)cccc1F,150.0,>,150.0,>,ABOVE,ABOVE,False
CHEMBL1427959,O=C(Nc1nc2ccccc2s1)c1ccccc1,150.0,>,77.62,,ABOVE,IN-RANGE,False
CHEMBL271012,C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2[nH]c(=O)sc12,3.0,,30.12,,IN-RANGE,IN-RANGE,True
CHEMBL552512,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12,3.0,,3.4,,IN-RANGE,IN-RANGE,True
