candidate_count,canonical_smiles_rdkit,chembl_activity_id,chembl_molecule_id,chembl_original_relation,chembl_original_units,chembl_original_value,chembl_standard_relation,chembl_standard_units,chembl_standard_value,evidence_label,id_equal,match_status,numeric_equal,tdc_id,tdc_raw_smiles,tdc_row,tdc_y
1,CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,14759892,CHEMBL401158,,microL/min/mg,6.0,,mL.min-1.g-1,6.0,OBSERVED,True,MATCHED,True,CHEMBL401158,CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,11,6.0
1,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2c(F)cccc12,14759913,CHEMBL2207656,,microL/min/mg,6.0,,mL.min-1.g-1,6.0,OBSERVED,True,MATCHED,True,CHEMBL2207656,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2c(F)cccc12,12,6.0
1,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,14759914,CHEMBL205078,,microL/min/mg,6.03,,mL.min-1.g-1,6.03,OBSERVED,True,MATCHED,True,CHEMBL205078,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,13,6.03
1,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nccs3)CC2)CC1,14759957,CHEMBL2070938,,microL/min/mg,6.92,,mL.min-1.g-1,6.92,OBSERVED,True,MATCHED,True,CHEMBL2070938,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nccs3)CC2)CC1,14,6.92
1,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,14759973,CHEMBL184012,,microL/min/mg,7.0,,mL.min-1.g-1,7.0,OBSERVED,True,MATCHED,True,CHEMBL184012,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,15,7.0
1,COc1ccc2nc(C)cc(-n3cc(CNC(C)=O)nn3)c2c1,14759988,CHEMBL1783112,,microL/min/mg,7.08,,mL.min-1.g-1,7.08,OBSERVED,True,MATCHED,True,CHEMBL1783112,COc1ccc2nc(C)cc(-n3cc(CNC(C)=O)nn3)c2c1,16,7.08
1,CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,14760020,CHEMBL1256967,,microL/min/mg,7.94,,mL.min-1.g-1,7.94,OBSERVED,True,MATCHED,True,CHEMBL1256967,CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,17,7.94
1,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,14758935,CHEMBL93484,,microL/min/mg,3.31,,mL.min-1.g-1,3.31,OBSERVED,True,MATCHED,True,CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,18,3.31
1,C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,14758973,CHEMBL402986,,microL/min/mg,4.0,,mL.min-1.g-1,4.0,OBSERVED,True,MATCHED,True,CHEMBL402986,C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,19,4.0
1,Cc1ccc(NC(=O)C2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,14758983,CHEMBL2031233,,microL/min/mg,4.0,,mL.min-1.g-1,4.0,OBSERVED,True,MATCHED,True,CHEMBL2031233,Cc1ccc(NC(=O)C2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,20,4.0
1,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,14758984,CHEMBL5,,microL/min/mg,4.0,,mL.min-1.g-1,4.0,OBSERVED,True,MATCHED,True,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,21,4.0
1,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,14758999,CHEMBL1766779,,microL/min/mg,4.17,,mL.min-1.g-1,4.17,OBSERVED,True,MATCHED,True,CHEMBL1766779,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,22,4.17
1,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,14758728,CHEMBL1290284,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1290284,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,23,3.0
1,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,14758730,CHEMBL60066,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL60066,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,24,3.0
1,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,14758753,CHEMBL1092926,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1092926,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,25,3.0
1,CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,14758762,CHEMBL1917449,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1917449,CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,26,3.0
1,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,14763457,CHEMBL1921944,,microL/min/mg,34.0,,mL.min-1.g-1,34.0,OBSERVED,True,MATCHED,True,CHEMBL1921944,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,27,34.0
1,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccn3)CCC1CC2)(c1ccccc1)N1CCCCC1,14764519,CHEMBL1921946,,microL/min/mg,66.0,,mL.min-1.g-1,66.0,OBSERVED,True,MATCHED,True,CHEMBL1921946,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccn3)CCC1CC2)(c1ccccc1)N1CCCCC1,28,66.0
1,O=C(O)[C@H](Cc1cccc(F)c1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,14761127,CHEMBL2158840,,microL/min/mg,8.0,,mL.min-1.g-1,8.0,OBSERVED,True,MATCHED,True,CHEMBL2158840,O=C(O)[C@H](Cc1cccc(F)c1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,29,8.0
1,C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12,14761135,CHEMBL272705,,microL/min/mg,8.28,,mL.min-1.g-1,8.28,OBSERVED,True,MATCHED,True,CHEMBL272705,C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12,30,8.28
1,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,14761138,CHEMBL2220442,,microL/min/mg,8.33,,mL.min-1.g-1,8.33,OBSERVED,True,MATCHED,True,CHEMBL2220442,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,31,8.33
1,CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,14761176,CHEMBL1689123,,microL/min/mg,9.0,,mL.min-1.g-1,9.0,OBSERVED,True,MATCHED,True,CHEMBL1689123,CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,32,9.0
1,Nc1nc(-c2ccccc2)nn1Cc1ccccc1,14761182,CHEMBL86276,,microL/min/mg,9.0,,mL.min-1.g-1,9.0,OBSERVED,True,MATCHED,True,CHEMBL86276,Nc1nc(-c2ccccc2)nn1Cc1ccccc1,33,9.0
1,CS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,14761230,CHEMBL1778642,,microL/min/mg,10.0,,mL.min-1.g-1,10.0,OBSERVED,True,MATCHED,True,CHEMBL1778642,CS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,34,10.0
1,O=C(Nc1cccc(CCO)c1)c1cc2cc(Cl)ccc2[nH]1,14761233,CHEMBL495383,,microL/min/mg,10.0,,mL.min-1.g-1,10.0,OBSERVED,True,MATCHED,True,CHEMBL495383,O=C(Nc1cccc(CCO)c1)c1cc2cc(Cl)ccc2[nH]1,35,10.0
1,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,14761235,CHEMBL180155,,microL/min/mg,10.0,,mL.min-1.g-1,10.0,OBSERVED,True,MATCHED,True,CHEMBL180155,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,36,10.0
1,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1,14765332,CHEMBL1213118,,microL/min/mg,72.0,,mL.min-1.g-1,72.0,OBSERVED,True,MATCHED,True,CHEMBL1213118,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1,37,72.0
1,COc1cccc2sc(NC(=O)c3ccccc3)nc12,14765343,CHEMBL1868126,,microL/min/mg,74.0,,mL.min-1.g-1,74.0,OBSERVED,True,MATCHED,True,CHEMBL1868126,COc1cccc2sc(NC(=O)c3ccccc3)nc12,38,74.0
1,c1ccc2c(c1)[nH]c1cnccc12,14765408,CHEMBL275224,,microL/min/mg,89.0,,mL.min-1.g-1,89.0,OBSERVED,True,MATCHED,True,CHEMBL275224,c1ccc2c(c1)[nH]c1cnccc12,39,89.0
1,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N(C)C3CCCCC3)cnn2-c2ccccc2)cc1,14765425,CHEMBL1916085,,microL/min/mg,94.0,,mL.min-1.g-1,94.0,OBSERVED,True,MATCHED,True,CHEMBL1916085,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N(C)C3CCCCC3)cnn2-c2ccccc2)cc1,40,94.0
1,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,14765426,CHEMBL1536083,,microL/min/mg,94.0,,mL.min-1.g-1,94.0,OBSERVED,True,MATCHED,True,CHEMBL1536083,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,41,94.0
1,C[C@@](C(=O)O[C@H]1C[N+]2(CCOc3ccc(Cl)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,14765444,CHEMBL1921931,,microL/min/mg,100.0,,mL.min-1.g-1,100.0,OBSERVED,True,MATCHED,True,CHEMBL1921931,C[C@@](C(=O)O[C@H]1C[N+]2(CCOc3ccc(Cl)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,42,100.0
1,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,14765461,CHEMBL20210,,microL/min/mg,104.71,,mL.min-1.g-1,104.71,OBSERVED,True,MATCHED,True,CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,43,104.71
1,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,14765492,CHEMBL595134,,microL/min/mg,114.82,,mL.min-1.g-1,114.82,OBSERVED,True,MATCHED,True,CHEMBL595134,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,44,114.82
1,CSc1nc(-c2ccccc2)nn1Cc1ccccc1,14765495,CHEMBL314034,,microL/min/mg,116.0,,mL.min-1.g-1,116.0,OBSERVED,True,MATCHED,True,CHEMBL314034,CSc1nc(-c2ccccc2)nn1Cc1ccccc1,45,116.0
1,CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,14765508,CHEMBL379350,,microL/min/mg,120.23,,mL.min-1.g-1,120.23,OBSERVED,True,MATCHED,True,CHEMBL379350,CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,46,120.23
1,Cc1cc(OCC(=O)Nc2ccccc2)c2cc(Br)ccc2n1,14765515,CHEMBL2098332,,microL/min/mg,123.03,,mL.min-1.g-1,123.03,OBSERVED,True,MATCHED,True,CHEMBL2098332,Cc1cc(OCC(=O)Nc2ccccc2)c2cc(Br)ccc2n1,47,123.03
1,CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,14765520,CHEMBL2170992,,microL/min/mg,125.89,,mL.min-1.g-1,125.89,OBSERVED,True,MATCHED,True,CHEMBL2170992,CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,48,125.89
1,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,14765524,CHEMBL6966,,microL/min/mg,127.7,,mL.min-1.g-1,127.7,OBSERVED,True,MATCHED,True,CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,49,127.7
1,O=C(Nc1ccccc1Cl)c1cc[nH]n1,14765547,CHEMBL1587607,,microL/min/mg,138.04,,mL.min-1.g-1,138.04,OBSERVED,True,MATCHED,True,CHEMBL1587607,O=C(Nc1ccccc1Cl)c1cc[nH]n1,50,138.04
1,Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)c4cccc(S(C)(=O)=O)c4)CC3)CC2)c1Cl,14762210,CHEMBL2171021,,microL/min/mg,13.5,,mL.min-1.g-1,13.5,OBSERVED,True,MATCHED,True,CHEMBL2171021,Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)c4cccc(S(C)(=O)=O)c4)CC3)CC2)c1Cl,51,13.5
1,CCCc1cc(=O)[nH]c(=S)[nH]1,14769866,CHEMBL1518,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,52,3.0
1,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,14762230,CHEMBL24646,,microL/min/mg,14.0,,mL.min-1.g-1,14.0,OBSERVED,True,MATCHED,True,CHEMBL24646,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,53,14.0
1,Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,14762237,CHEMBL2158774,,microL/min/mg,14.0,,mL.min-1.g-1,14.0,OBSERVED,True,MATCHED,True,CHEMBL2158774,Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,54,14.0
1,CCC(C)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,14762292,CHEMBL1916280,,microL/min/mg,15.67,,mL.min-1.g-1,15.67,OBSERVED,True,MATCHED,True,CHEMBL1916280,CCC(C)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,55,15.67
1,C[C@H]1C[C@@H](NS(=O)(=O)c2cc(Br)ccc2Br)CN1C#N,14762303,CHEMBL1672434,,microL/min/mg,16.0,,mL.min-1.g-1,16.0,OBSERVED,True,MATCHED,True,CHEMBL1672434,C[C@H]1C[C@@H](NS(=O)(=O)c2cc(Br)ccc2Br)CN1C#N,56,16.0
1,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl,14761275,CHEMBL393717,,microL/min/mg,11.0,,mL.min-1.g-1,11.0,OBSERVED,True,MATCHED,True,CHEMBL393717,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl,57,11.0
1,CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,14769804,CHEMBL383322,,microL/min/mg,3.0,,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL383322,CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,58,3.0
1,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,14769858,CHEMBL1778644,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1778644,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,59,3.0
1,CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1,14758856,CHEMBL1789224,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1789224,CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1,60,3.0
1,O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,14758869,CHEMBL2171023,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL2171023,O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,61,3.0
1,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C(F)(F)F)c1,14758980,CHEMBL1778647,,microL/min/mg,4.0,,mL.min-1.g-1,4.0,OBSERVED,True,MATCHED,True,CHEMBL1778647,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C(F)(F)F)c1,62,4.0
1,N=C(N)c1cc2c(I)cccc2s1,14758985,CHEMBL60088,,microL/min/mg,4.0,,mL.min-1.g-1,4.0,OBSERVED,True,MATCHED,True,CHEMBL60088,N=C(N)c1cc2c(I)cccc2s1,63,4.0
1,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,14758781,CHEMBL2171022,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL2171022,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,64,3.0
1,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1,14758795,CHEMBL1778645,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1778645,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1,65,3.0
1,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,14758813,CHEMBL2031236,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL2031236,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,66,3.0
1,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,14758824,CHEMBL1917459,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1917459,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,67,3.0
1,Cc1ccc(C#N)cc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,14758831,CHEMBL1777822,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1777822,Cc1ccc(C#N)cc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,68,3.0
1,C[C@H]1CN(Cc2cc(Cl)ccc2CCC(=O)O)CCN1C(=O)Cc1ccccc1,14758861,CHEMBL1689136,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,CHEMBL1689136,C[C@H]1CN(Cc2cc(Cl)ccc2CCC(=O)O)CCN1C(=O)Cc1ccccc1,69,3.0
1,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,14763420,CHEMBL91428,,microL/min/mg,30.9,,mL.min-1.g-1,30.9,OBSERVED,True,MATCHED,True,CHEMBL91428,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,70,30.9
1,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(NCC2CCNCC2)c1Cl,14764538,CHEMBL564885,,microL/min/mg,68.0,,mL.min-1.g-1,68.0,OBSERVED,True,MATCHED,True,CHEMBL564885,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(NCC2CCNCC2)c1Cl,71,68.0
1,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,14763273,CHEMBL1800526,,microL/min/mg,23.5,,mL.min-1.g-1,23.5,OBSERVED,True,MATCHED,True,CHEMBL1800526,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,72,23.5
1,CCCCC(CC)CNC(=O)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,14763288,CHEMBL559078,,microL/min/mg,24.0,,mL.min-1.g-1,24.0,OBSERVED,True,MATCHED,True,CHEMBL559078,CCCCC(CC)CNC(=O)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,73,24.0
1,O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,14763289,CHEMBL551765,,microL/min/mg,24.0,,mL.min-1.g-1,24.0,OBSERVED,True,MATCHED,True,CHEMBL551765,O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,74,24.0
1,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1,14763324,CHEMBL1789274,,microL/min/mg,26.0,,mL.min-1.g-1,26.0,OBSERVED,True,MATCHED,True,CHEMBL1789274,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1,75,26.0
1,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,14763358,CHEMBL1734492,,microL/min/mg,27.54,,mL.min-1.g-1,27.54,OBSERVED,True,MATCHED,True,CHEMBL1734492,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,76,27.54
1,CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1,14763395,CHEMBL1096435,,microL/min/mg,29.51,,mL.min-1.g-1,29.51,OBSERVED,True,MATCHED,True,CHEMBL1096435,CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1,77,29.51
