activity_id,molecule_id,canonical_smiles_rdkit,censoring_class,scaffold_group_key,outer_fold
14758744,CHEMBL2158821,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,c1ccc(CN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,3
14758745,CHEMBL256963,Clc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,BELOW,c1cc(NC2CNC2)nc(-c2cnc3ccccn23)c1,4
14758747,CHEMBL2207663,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccc(=O)[nH]c1,3
14758748,CHEMBL364714,C[C@@H](C(N)=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,BELOW,c1ccccc1,3
14758749,CHEMBL1934421,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCN(CC(F)(F)F)CC2)cc1,BELOW,O=S(=O)(Nc1ccnn1C1CCNCC1)c1ccccc1,1
14758750,CHEMBL413065,CCc1nc2c(N)nc3ccccc3c2n1CC(C)C,BELOW,c1ccc2c(c1)ncc1nc[nH]c12,0
14758751,CHEMBL2171038,Cc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,4
14758752,CHEMBL578288,N#CN=C(N)c1sc(Nc2ccccc2)nc1N,BELOW,c1ccc(Nc2nccs2)cc1,2
14758753,CHEMBL1092926,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,BELOW,c1cc(-c2ccc(CN3CCOCC3)cc2)c2nc(-c3cnn(C4CCNCC4)c3)cnc2c1,0
14758754,CHEMBL2158819,O=C(O)C(c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,c1ccc(CN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,3
14758755,CHEMBL2207283,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccc(S(C)(=O)=O)cc34)CC2)c1Cl,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,2
14758756,CHEMBL2071614,CC(C)(O)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1,BELOW,c1ccc(Nc2nc3ccccc3[nH]2)cc1,1
14758757,CHEMBL1778621,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758758,CHEMBL2325503,CS(=O)(=O)c1ccc(-c2nnc(/C=C/c3nnc(-c4ccc(C#N)cc4)o3)n2-c2ccccc2Cl)nc1,BELOW,C(=C/c1nnc(-c2ccccn2)n1-c1ccccc1)\c1nnc(-c2ccccc2)o1,2
14758759,CHEMBL213494,Cc1ccc2c(c1)c(-c1ccnc3c(S(C)(=O)=O)cccc13)c(C)n2CC(=O)O,BELOW,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,4
14758760,CHEMBL1778643,CCc1ccc(OCC(=O)O)c(-c2ccc(S(C)(=O)=O)cc2)c1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758761,CHEMBL2171024,O=C(O)c1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,BELOW,O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,3
14758762,CHEMBL1917449,CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,BELOW,O=S(=O)(c1ccccc1)c1c[nH]c2ccccc12,2
14758763,CHEMBL1778649,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@@H](C)C(=O)O)c(C)c1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758764,CHEMBL2171040,COc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,4
14758765,CHEMBL1917456,Cc1c(Oc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,BELOW,c1ccc(Oc2c[nH]c3ccccc23)cc1,4
14758766,CHEMBL2207659,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]nc2C(F)(F)F)CC1,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1cn[nH]c1,4
14758767,CHEMBL2158826,O=C(O)Cc1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,BELOW,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,1
14758768,CHEMBL2171039,O=C(NS(=O)(=O)c1ccccc1Cl)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,4
14758769,CHEMBL315708,c1ccc(-c2[nH]nc3ccccc23)cc1,BELOW,c1ccc(-c2[nH]nc3ccccc23)cc1,3
14758770,CHEMBL1778635,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758771,CHEMBL1778641,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)cc1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758772,CHEMBL1778652,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2CCC(=O)O)c(C)c1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758773,CHEMBL1689133,C[C@H](Oc1ccc(Cl)cc1CN1CCN(C(=O)Cc2ccc(Cl)cc2)[C@@H](C)C1)C(=O)O,BELOW,O=C(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14758774,CHEMBL2207658,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]nc1C(F)(F)F,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1cn[nH]c1,4
14758775,CHEMBL2158827,O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,BELOW,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,1
14758776,CHEMBL2208430,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c2ccccc12,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c2ccccc12,3
14758777,CHEMBL2208434,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1cc(=O)[nH]c2ccccc12,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1cc(=O)[nH]c2ccccc12,2
14758778,CHEMBL213495,Cc1ccc2c(c1)c(-c1ccnc3c(C#N)cccc13)c(C)n2CC(=O)O,BELOW,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,4
14758779,CHEMBL2181808,Cc1c(CC(=O)O)c2cc(F)ccc2n1Cc1nc2ccccc2s1,BELOW,c1ccc2c(c1)ccn2Cc1nc2ccccc2s1,0
14758780,CHEMBL257830,N#Cc1ccc2[nH]c(-c3ccc(F)cc3)c(CCCC(=O)NS(N)(=O)=O)c2c1,BELOW,c1ccc(-c2cc3ccccc3[nH]2)cc1,2
14758781,CHEMBL2171022,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,BELOW,O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,3
14758782,CHEMBL440405,CS(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,BELOW,c1ccc(-c2cc3ccccc3[nH]2)cc1,2
14758783,CHEMBL1917431,Cc1c(Sc2ccc(Cl)cc2)c2cc(S(C)(=O)=O)ccc2n1CC(=O)O,BELOW,c1ccc(Sc2c[nH]c3ccccc23)cc1,2
14758784,CHEMBL2171036,COc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,BELOW,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,4
14758785,CHEMBL213854,Cc1ccc2c(c1)c(-c1ccnc3c(F)cccc13)c(C)n2CC(=O)O,BELOW,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,4
14758786,CHEMBL402728,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,BELOW,O=c1[nH]c2nc(SCc3cscn3)ncc2s1,1
14758787,CHEMBL1917443,Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,BELOW,c1ccc(Sc2c[nH]c3ccccc23)cc1,2
14758788,CHEMBL2158825,O=C(O)Cc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,1
14758789,CHEMBL98760,CC(C)NC(=O)c1ccc2c(Nc3ccc(Cl)cc3)nc(N3CCOCC3)nc2c1,BELOW,c1ccc(Nc2nc(N3CCOCC3)nc3ccccc23)cc1,1
14758790,CHEMBL1917447,Cc1c(S(=O)(=O)c2ccc(Cl)cc2)c2cc(F)ccc2n1CC(=O)O,BELOW,O=S(=O)(c1ccccc1)c1c[nH]c2ccccc12,2
14758791,CHEMBL1778612,O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758792,CHEMBL214304,Cc1ccc2c(c1)c(-c1ccnc3cc(C(F)(F)F)ccc13)c(C)n2CC(=O)O,BELOW,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,4
14758793,CHEMBL1082376,CCCCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccccc1,BELOW,c1ccc(Cn2cnc3cnc4ccccc4c32)cc1,2
14758794,CHEMBL1917438,Cc1c(Sc2ccc(Cl)cc2)c2c(-c3ccccc3)cccc2n1CC(=O)O,BELOW,c1ccc(Sc2c[nH]c3cccc(-c4ccccc4)c23)cc1,2
14758795,CHEMBL1778645,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758796,CHEMBL239767,O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,BELOW,O=C(Nc1ccccc1)Nc1ccccc1,3
14758797,CHEMBL2058529,O=C(O)CCc1ccc(OCc2cc(Cl)ccc2-c2ccccc2)cc1,BELOW,c1ccc(OCc2ccccc2-c2ccccc2)cc1,1
14758798,CHEMBL249584,OC[C@H]1C[C@@H](n2nnc3c(N[C@@H]4C[C@H]4c4ccccc4)nc(SCCC(F)(F)F)nc32)[C@H](O)[C@@H]1O,BELOW,c1ccc([C@@H]2C[C@H]2Nc2ncnc3c2nnn3C2CCCC2)cc1,3
14758799,CHEMBL370657,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3noc(-c4ccc(F)cc4)n3)(CC1)CC2,BELOW,c1ccc(-c2nnc(C34CCC(c5noc(-c6ccccc6)n5)(CC3)CC4)[nH]2)cc1,4
14758800,CHEMBL274713,CCCSc1nc(N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,BELOW,c1ccc([C@@H]2C[C@H]2Nc2ncnc3c2nnn3C2CCCC2)cc1,3
14758801,CHEMBL2364624,O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,BELOW,c1cncc(Nc2ccc(-c3ccc(C4CCCCC4)cc3)nc2)c1,2
14758802,CHEMBL1829783,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,BELOW,O=C1OC(c2ccccc2)CCN1Cc1ccc(-c2ccccc2)cc1,4
14758803,CHEMBL1975242,O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1,BELOW,O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1,2
14758804,CHEMBL257167,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,BELOW,c1ccc(-c2cccs2)cc1,0
14758805,CHEMBL370552,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(NC(=O)C(C)(C)C)cc2)CC1,BELOW,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4
14758806,CHEMBL203567,Nc1c(C(=O)c2cccc(OC[C@@H](O)CO)c2)cnn1-c1ccc(F)cc1,BELOW,O=C(c1ccccc1)c1cnn(-c2ccccc2)c1,0
14758807,CHEMBL361546,O=c1c2sccc2n(CC2COc3ccccc3O2)c(=O)n1O,BELOW,O=c1[nH]c(=O)n(CC2COc3ccccc3O2)c2ccsc12,1
14758808,CHEMBL180334,CN(C(=O)Cc1ccc(F)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,BELOW,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4
14758809,CHEMBL205133,Nc1c(C(=O)c2cccc(OC[C@H](O)CO)c2)cnn1-c1ccc(F)cc1,BELOW,O=C(c1ccccc1)c1cnn(-c2ccccc2)c1,0
14758810,CHEMBL198114,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(NS(C)(=O)=O)cc2)CC1,BELOW,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4
14758811,CHEMBL212731,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cccc(F)c2)CC1,BELOW,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4
14758812,CHEMBL372052,C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,BELOW,O=C(c1ccccc1)c1ccccc1,1
14758813,CHEMBL2031236,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,BELOW,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1cscn1,1
14758814,CHEMBL1645494,CNC(=O)Cc1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1,BELOW,O=c1cc(-c2cccnc2)[nH]c2ccccc12,1
14758815,CHEMBL2031237,Cc1ccc(NC(=O)c2cncs2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,BELOW,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1cncs1,4
14758816,CHEMBL254370,CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccccc1,BELOW,O=c1c(NCc2ccccc2)c(Nc2ccccc2)c1=O,0
14758817,CHEMBL198497,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(NC(C)=O)cc2)CC1,BELOW,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4
14758818,CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,BELOW,c1ccc2[nH]ccc2c1,2
14758819,CHEMBL1917435,CNC(=O)c1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,BELOW,c1ccc(Sc2c[nH]c3ccccc23)cc1,2
14758820,CHEMBL1917450,Cc1c(S(=O)(=O)c2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,BELOW,O=S(=O)(c1ccccc1)c1c[nH]c2ccccc12,2
14758821,CHEMBL1778633,Cc1cc(N(C)S(C)(=O)=O)ccc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,BELOW,c1ccc(-c2ccccc2)cc1,0
14758822,CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,BELOW,O=S(=O)(Nc1ccon1)c1ccccc1,4
14758823,CHEMBL403963,C(=C/c1nn[nH]n1)\c1ccccc1,BELOW,C(=C/c1nn[nH]n1)\c1ccccc1,2
14758824,CHEMBL1917459,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,BELOW,c1ccc(Oc2c[nH]c3ccccc23)cc1,4
14758825,CHEMBL2023265,O=C(O)CSCC(=O)Nc1nc(-c2ccc(F)cc2)cs1,BELOW,c1ccc(-c2cscn2)cc1,1
14758826,CHEMBL75435,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,BELOW,O=C(c1ccccc1)c1ccccc1,1
14758827,CHEMBL700,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,BELOW,O=S(=O)(Nc1ccccn1)c1ccccc1,0
14758828,CHEMBL15770,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,BELOW,C1=Cc2ccccc2/C1=C\c1ccccc1,0
14758829,CHEMBL153370,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NCC#N,BELOW,C1COCCN1,3
14758830,CHEMBL1778616,O=C(O)COc1ccc(Br)cc1-c1ccccc1,BELOW,c1ccc(-c2ccccc2)cc1,0
14758831,CHEMBL1777822,Cc1ccc(C#N)cc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,BELOW,c1ccc(-c2ccccc2)cc1,0
14758832,CHEMBL1276946,Cc1c2c(=O)n(-c3ccccc3Cl)[nH]c2cc(=O)n1Cc1ccccn1,BELOW,O=c1cc2[nH]n(-c3ccccc3)c(=O)c2cn1Cc1ccccn1,3
14758833,CHEMBL1917458,CCS(=O)(=O)c1ccc(Oc2c(C)n(CC(=O)O)c3ccc(C(F)(F)F)cc23)cc1,BELOW,c1ccc(Oc2c[nH]c3ccccc23)cc1,4
14758834,CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,BELOW,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3cnc4ccccc43)cc2)c1,0
14758835,CHEMBL1789148,CCC(CCNC)Oc1cc(Cl)ccc1C#N,BELOW,c1ccccc1,3
14758836,CHEMBL1916287,Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2cccnc2)c1C(=O)N[C@@H](C)C(C)(C)C,BELOW,O=S(=O)(Nc1ccnn1-c1ccccc1)c1cccnc1,4
14758837,CHEMBL1689116,O=C(O)COc1ccc(Cl)cc1CN1CCC(S(=O)(=O)c2ccccc2)CC1,BELOW,O=S(=O)(c1ccccc1)C1CCN(Cc2ccccc2)CC1,3
14758838,CHEMBL1689134,C[C@H]1CN(Cc2cc(Cl)ccc2OC(C)(C)C(=O)O)CCN1S(=O)(=O)c1ccccc1,BELOW,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,1
14758839,CHEMBL8232,COc1cccc(Oc2cncnc2O)c1,BELOW,c1ccc(Oc2cncnc2)cc1,3
14758840,CHEMBL1689122,CC1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cc(Cl)ccc1OCC(=O)O,BELOW,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,1
14758841,CHEMBL1689125,C[C@@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)C[C@H](C)N1C(=O)Cc1ccccc1,BELOW,O=C(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14758842,CHEMBL2171050,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(F)c(F)c4)CC3)CC2)cc1,BELOW,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,4
14758843,CHEMBL1689130,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1cccc(Cl)c1,BELOW,O=C(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14758844,CHEMBL1917430,Cc1c(Sc2ccc(Cl)cc2)c2ccc(S(C)(=O)=O)cc2n1CC(=O)O,BELOW,c1ccc(Sc2c[nH]c3ccccc23)cc1,2
14758845,CHEMBL272842,O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(CO)c(Cl)c3)CC2)CC1,BELOW,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,1
14758846,CHEMBL1043,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,BELOW,O=S(=O)(c1ccccc1)c1ccccc1,1
14758847,CHEMBL1789328,N#Cc1cc(Cl)ccc1O[C@H](CCN)c1ccccc1,BELOW,c1ccc(COc2ccccc2)cc1,2
14758848,CHEMBL1917444,COc1ccc(Sc2c(C)n(CC(=O)O)c3ccc(C)cc23)cc1,BELOW,c1ccc(Sc2c[nH]c3ccccc23)cc1,2
14758849,CHEMBL1689114,O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)c2ccccc2)CC1,BELOW,O=S(=O)(c1ccccc1)N1CCCN(Cc2ccccc2)CC1,1
14758850,CHEMBL1194759,CCCC1CCCCC(N)=N1,BELOW,C1=NCCCCC1,3
14758851,CHEMBL2158833,O=C(O)c1ccc(CN2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,BELOW,c1ccc(CN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,3
14758852,CHEMBL1689137,C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1S(=O)(=O)Cc1ccccc1,BELOW,O=S(=O)(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,2
14758853,CHEMBL437526,CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2C(=O)CC[C@H](NC(=O)c3nccc4ccccc34)C(=O)N12,BELOW,O=C1C[C@H](NC(=O)[C@@H]2CCCN3C(=O)CC[C@H](NC(=O)c4nccc5ccccc45)C(=O)N23)CO1,3
14758854,CHEMBL2158832,O=C(O)c1cccc(CN2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,BELOW,c1ccc(CN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,3
14758855,CHEMBL1917454,Cc1c(Oc2ccc(Cl)cc2)c2cc(F)ccc2n1CC(=O)O,BELOW,c1ccc(Oc2c[nH]c3ccccc23)cc1,4
14758856,CHEMBL1789224,CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1,BELOW,c1ccc(COc2ccccc2)cc1,2
14758857,CHEMBL373351,CCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,BELOW,c1ccc2c(c1)ncc1nc[nH]c12,0
