activity_id,chembl_id,scaffold_key,outer_fold
14759836,CHEMBL1090090,c1ccc(Nc2cccc(-c3ccccc3)n2)cc1,3
14759837,CHEMBL168899,O=C1Nc2ccccc2BN1c1ccccc1,2
14759846,CHEMBL1464,O=c1oc2ccccc2cc1Cc1ccccc1,2
14759847,CHEMBL1939560,O=C(Cc1ccccc1)N(Cc1nc2ncccc2c(=O)n1-c1ccccc1)CC1CCS(=O)(=O)CC1,2
14759848,CHEMBL1460615,O=S1(=O)CCC(N2CCC(c3ccccc3)CC2)C1,1
14759854,CHEMBL284275,c1ccc(Cc2cn[nH]c2)cc1,5
14759855,CHEMBL106309,c1ccc(Cc2ccc3ccccc3n2)cc1,5
14759860,CHEMBL1173055,O=C1NCCc2c(-c3ccccc3)[nH]c3cccc1c23,1
14759861,CHEMBL1459588,c1ccccc1,5
14759862,CHEMBL1829174,c1ccc(-c2cccc(COc3ccc4c(c3)OCC4)c2)cc1,3
14759863,CHEMBL2158785,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,5
14759864,CHEMBL206200,c1ccc(Cn2cnc3cncnc32)cc1,4
14759865,CHEMBL214350,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,2
14759874,CHEMBL12,O=C1CN=C(c2ccccc2)c2ccccc2N1,4
14759875,CHEMBL451,C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1,5
14759876,CHEMBL2325719,c1cc(-c2nc(C3CC3)cc(N3CCOCC3)n2)c2cc[nH]c2c1,1
14759891,CHEMBL2158769,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,5
14759892,CHEMBL401158,c1ncc2nnn(C3CCCC3)c2n1,3
14759893,CHEMBL1934416,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,4
14759894,CHEMBL1916278,O=C(NC1CCOCC1)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccccc1,3
14759895,CHEMBL1643194,O=C(Nc1ccccc1)C1c2ccccc2CN1Cc1ccccc1,3
14759896,CHEMBL2207281,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14759897,CHEMBL2207662,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccc(=O)[nH]c1,3
14759898,CHEMBL2207671,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14759899,CHEMBL416,O=c1ccc2cc3ccoc3cc2o1,3
14759900,CHEMBL2207664,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccc(=O)[nH]c1,3
14759901,CHEMBL1086473,c1ccc(Cn2cnc3cnc4ccccc4c32)cc1,2
14759902,CHEMBL426823,c1cnnc(N2CCC(CCOc3ccc4ncoc4c3)CC2)c1,2
14759903,CHEMBL1163803,O=C(NCc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,2
14759904,CHEMBL2158823,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,4
14759905,CHEMBL2031238,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1ccoc1,4
14759906,CHEMBL1778618,c1ccc(-c2ccccc2)cc1,4
14759907,CHEMBL452529,c1ccc(-c2cccs2)cc1,1
14759908,CHEMBL1082811,O=c1cc(-c2ccccc2)nc(SCc2ccccc2)[nH]1,4
14759909,CHEMBL2171048,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14759910,CHEMBL2158815,c1ccc(CN2CCC(N3CCC(Oc4ccccc4)CC3)CC2)cc1,4
14759911,CHEMBL441550,O=C(c1c(Cc2ccccc2)sc2[nH]c(=O)[nH]c(=O)c12)N1CCS(=O)(=O)C1,2
14759912,CHEMBL2171043,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14759913,CHEMBL2207656,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14759914,CHEMBL205078,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,5
14759921,CHEMBL2041980,c1ccc(-c2cncc(-c3cccnc3)c2)cc1,5
14759922,CHEMBL318021,c1ccc(OCc2ccc3ccccc3n2)cc1,2
14759923,CHEMBL256668,O=c1cnc2cnc(SCc3ccccc3)nc2[nH]1,5
14759930,CHEMBL35,c1ccc(NCc2ccco2)cc1,4
14759931,CHEMBL782,c1ccccc1,5
14759932,CHEMBL2017259,O=C(Nc1ccc(-n2ccnc2)nc1)c1ccccc1,5
14759933,CHEMBL550175,O=S(=O)(c1ccccc1)N1CCN(c2ccccc2)CC1,4
14759934,CHEMBL1689110,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14759937,CHEMBL46,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,3
14759938,CHEMBL382435,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14759943,CHEMBL1340633,c1ccc(Nc2ccc(-c3ccc(Nc4ccccc4)cc3)cc2)cc1,2
14759944,CHEMBL206229,O=c1[nH]c(=O)c2cc(Cc3ccccc3)sc2[nH]1,3
14759950,CHEMBL2070946,O=C(NC1CC1)C1CCCCC1C(=O)N1CCN(c2nccs2)CC1,4
14759955,CHEMBL1088752,O=C(NC1CC1)c1cccc(-c2ccccn2)c1,2
14759956,CHEMBL1214,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,5
14759957,CHEMBL2070938,O=C(NC1CC1)C1CCCCC1C(=O)N1CCN(c2nccs2)CC1,4
14759966,CHEMBL108,C1=Cc2ccccc2Nc2ccccc21,2
14759967,CHEMBL378730,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,2
14759968,CHEMBL1934422,O=S(=O)(Nc1ccnn1C1CCOCC1)c1ccccc1,5
14759969,CHEMBL1917446,O=S(=O)(c1ccccc1)c1c[nH]c2ccccc12,5
14759970,CHEMBL521509,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3cccnc3)c2)c2ncccc2c1=O,1
14759971,CHEMBL1221702,C1=NCCOc2ccsc21,2
14759972,CHEMBL2031227,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1ccccc1,5
14759973,CHEMBL184012,O=C(Nc1cccc(NC(=O)c2ccnc(N3CCOCC3)c2)c1)c1ccc(OCc2ccccn2)cc1,3
14759974,CHEMBL2018954,O=S(=O)(Nc1nccnc1OCc1ccccc1)c1ccccc1,2
14759975,CHEMBL1537460,O=C(Nc1ccc(Cc2ccncc2)cc1)c1ccccc1,3
14759976,CHEMBL491758,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,2
14759977,CHEMBL282625,C(=Cc1cccc2sccc12)c1ccc2c(c1)OCO2,1
14759978,CHEMBL2031224,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1ccccc1,5
14759979,CHEMBL2031241,O=C(Nc1nccs1)c1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1,4
14759980,CHEMBL2163360,O=C(NC1CC1)C1CCCCC1C(=O)N1CCc2[nH]c3ncccc3c2C1,5
14759981,CHEMBL1689129,O=C(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,5
14759982,CHEMBL1917418,c1ccc(Sc2c[nH]c3ccccc23)cc1,1
14759983,CHEMBL2208422,O=S(=O)(NCCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,2
14759984,CHEMBL383696,O=c1[nH]c(=O)c2c(SC3CCCC3)c(Cc3ccccc3)sc2[nH]1,2
14759988,CHEMBL1783112,c1ccc2c(-n3ccnn3)ccnc2c1,5
14759993,CHEMBL2151326,c1ccc(Cn2cnc3ccc(Nc4cc[nH]n4)nc32)nc1,1
14759997,CHEMBL2325697,c1cc(-c2nc(C3CC3)cc(N3CCOCC3)n2)c2cc[nH]c2c1,1
14759998,CHEMBL243001,O=c1c2cc(Oc3ccccc3)ccc2ncn1CC1CCCNC1,1
14759999,CHEMBL1290353,c1ccccc1,5
14760001,CHEMBL1779512,O=C(NCC1CCCCCC1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,1
14760002,CHEMBL1934266,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,4
14760003,CHEMBL1951909,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)N2CCNCC2)CC1,1
14760008,CHEMBL2017291,O=c1[nH]c2cnc3cc(-c4cnoc4)ccc3c2n1Cc1ccccn1,1
14760009,CHEMBL66089,c1ccc(-c2cc(-c3ccc(N4CCOCC4)nc3)nc3ncncc23)cc1,3
14760013,CHEMBL1645105,c1cncc(-c2ccc3ncsc3c2)c1,5
14760014,CHEMBL1363924,O=C(CSc1nnc(-c2cccnc2)[nH]1)Nc1ccon1,1
14760020,CHEMBL1256967,O=C(NC1CNC1=O)C(=NOCc1cc(=O)cc[nH]1)c1cscn1,4
14760021,CHEMBL580,O=C1CN=C(c2ccccc2)c2ccccc2N1,4
14760031,CHEMBL1807827,O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,3
14760032,CHEMBL54,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,1
14760034,CHEMBL552513,O=C(Cc1ccccc1)Nc1cccc2c(=O)n(C3CCNC3)ccc12,2
14760035,CHEMBL1917440,c1ccc(Sc2c[nH]c3cccc(-c4cnccn4)c23)cc1,4
14760036,CHEMBL855,C(CN1CCCC1)=C(c1ccccc1)c1ccccn1,3
14760037,CHEMBL2158822,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,4
14761124,CHEMBL2207280,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14761125,CHEMBL1689120,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14761126,CHEMBL2158775,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,5
14761127,CHEMBL2158840,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,5
14761128,CHEMBL341087,O=C(c1cc2ccccc2[nH]1)N1CCNCC1,2
14761129,CHEMBL2332935,c1ccc(OCCCN2CCC3(CC2)Cc2ccccc2O3)cc1,3
14761130,CHEMBL2208435,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1cnnc2ccccc12,1
14761134,CHEMBL232846,c1ccc(CSc2ncc3scnc3n2)cc1,4
14761135,CHEMBL272705,O=c1[nH]c2nc(SCc3ccco3)ncc2s1,4
14761136,CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,1
14761137,CHEMBL398338,O=C(Nc1cccc2[nH]ncc12)NC1CCc2ccccc21,1
14761138,CHEMBL2220442,c1ccc(-c2c[nH]c3ccccc23)cc1,5
14761139,CHEMBL2158828,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,4
14761140,CHEMBL380005,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14761141,CHEMBL1779497,O=C(NCC1CCCCC1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,5
14761149,CHEMBL2048873,O=C1NC(=O)C(=Cc2cccc(-c3ccncc3)c2N2CCCCC2)S1,3
14761150,CHEMBL403225,O=c1[nH]c2nc(SCc3ccccc3)ncc2s1,1
14761156,CHEMBL1241590,c1ccccc1,5
14761157,CHEMBL274737,c1ccc(CSc2ncc3scnc3n2)cc1,4
14761158,CHEMBL403313,c1ccc(-c2cc3ccccc3[nH]2)cc1,1
14761161,CHEMBL1831130,O=C(NCC1CN(c2ccnc3ccccc23)C(=O)O1)C1CC1,2
14761162,CHEMBL2325699,c1cc(-c2nc(C3CC3)cc(N3CC4CCC(C3)O4)n2)c2cc[nH]c2c1,4
14761168,CHEMBL1363,c1ccc(CCNCCc2ccccc2)cc1,4
14761169,CHEMBL1807821,O=c1[nH]c2cccc(CCNCCCOCCOCCc3ccccc3)c2s1,5
14761170,CHEMBL1916285,O=S(=O)(Nc1ccnn1-c1ccccc1)c1cccc(CN2CCOCC2)c1,1
14761171,CHEMBL1778623,c1ccc(-c2ccccc2)cc1,4
14761172,CHEMBL1916263,O=S(=O)(Nc1ccn(-c2ccccc2)n1)c1ccccc1,3
14761173,CHEMBL2207661,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]nc1C1CC1,2
14761174,CHEMBL2171014,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14761175,CHEMBL2207278,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14761176,CHEMBL1689123,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14761177,CHEMBL2171018,O=C(NCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,3
14761178,CHEMBL452021,c1ccc(-c2cccs2)cc1,1
14761179,CHEMBL1778617,c1ccc(-c2cccc(-c3nccs3)c2)cc1,5
14761180,CHEMBL1945037,O=c1[nH]c2cccc(CCNCCc3cccc(CNCCCc4ccccc4)c3)c2s1,1
14761181,CHEMBL686,c1ccc(Nc2ccccc2)cc1,3
14761182,CHEMBL86276,c1ccc(Cn2cnc(-c3ccccc3)n2)cc1,5
14761183,CHEMBL257269,O=c1ccc2cnc(SCc3ccccc3)nc2[nH]1,5
14761191,CHEMBL426658,c1ccc(-c2cnc3ccc(NC4CCOCC4)nn23)cc1,5
14761192,CHEMBL2180612,O=C1CCCC2=C1C(c1ccc(-c3ccccc3)cc1)C=CN2,2
14761197,CHEMBL1956112,N=C(Nc1ccc2c(c1)CCCN2CCC1CCCN1)c1cccs1,2
14761199,CHEMBL1346,c1ccc(C(c2ccccc2)C2CCN(CCc3ccc4c(c3)CCO4)C2)cc1,3
14761202,CHEMBL1389370,c1ncc2sc3nc(N4CCOCC4)c4c(c3c2n1)CCCC4,4
14761209,CHEMBL1922660,c1ccc(COc2ccc3c(ccn3Cc3ccc(-c4cccnc4)cc3)c2)nc1,3
14761211,CHEMBL2170989,O=C(NCCCSCC1CCC(n2cnc3cncnc32)O1)Nc1ccccc1,3
14761212,CHEMBL171951,B1NN=Cc2ccccc21,2
14761228,CHEMBL1916289,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,2
14761229,CHEMBL563784,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(N2CCNCC2)c1,2
14761230,CHEMBL1778642,c1ccc(-c2ccccc2)cc1,4
14761231,CHEMBL2207667,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14761232,CHEMBL2171013,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14761233,CHEMBL495383,O=C(Nc1ccccc1)c1cc2ccccc2[nH]1,2
14761234,CHEMBL2011440,O=S(=O)(Nc1cnccn1)c1cccs1,5
14761235,CHEMBL180155,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14761236,CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,5
14761237,CHEMBL1766793,O=C(Nc1ccccc1)c1cncc(-c2ccccc2)n1,4
14761244,CHEMBL1297,c1ccc(Oc2ccccc2)cc1,3
14761250,CHEMBL72,c1ccc2c(c1)CCc1ccccc1N2,3
14761251,CHEMBL1807829,O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,3
14761252,CHEMBL2171037,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14761254,CHEMBL129660,O=C(c1cc2ccccc2[nH]1)N1CCNCC1,2
14761261,CHEMBL496929,O=C(Nc1ccccc1)c1cc2ccccc2[nH]1,2
14761266,CHEMBL1922094,c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)cn1,5
14761267,CHEMBL1834184,O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)C1CCCC1,3
14761271,CHEMBL1689117,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14761272,CHEMBL1934413,O=S(=O)(Nc1ccnn1C1CCC1)c1ccccc1,4
14761273,CHEMBL1289545,O=C(c1cscn1)N1CCOC2(CCN(Cc3ccccc3)CC2)C1,2
14761274,CHEMBL2171034,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14761275,CHEMBL393717,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(N2CCNCC2)c1,5
14761276,CHEMBL1681882,c1ccc(CN2CCC(N3CCN(c4ccccn4)CC3)CC2)cc1,5
14761277,CHEMBL1643200,O=C(Nc1ccccc1)C1Cc2ccccc2CN1Cc1ccccc1,4
14761278,CHEMBL1778624,c1ccc(-c2ccccc2)cc1,4
14761279,CHEMBL1807870,O=c1[nH]c2cccc(CCNCCCSCCNCCc3ccccc3)c2s1,4
14761280,CHEMBL1689124,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14761281,CHEMBL598191,c1ccc(COc2cccc3sccc23)cc1,1
14761282,CHEMBL109244,O=C(NCCCCCCNCCc1cccc2ncsc12)Nc1ccccc1,3
14761283,CHEMBL564535,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1,3
14761284,CHEMBL1917422,c1ccc(Sc2cn(Cc3nnn[nH]3)c3ccccc23)cc1,3
14761285,CHEMBL380936,c1ccc(CNc2ncc3ncn(Cc4ccccc4)c3n2)cc1,2
14761286,CHEMBL359806,c1ccc(CNc2[nH]nc3cccc(Oc4ccccc4)c23)cc1,5
14761287,CHEMBL280148,c1ccc2nc(-c3ccc(N4CCNCC4)cc3)ccc2c1,2
14761288,CHEMBL223402,O=C(Nc1ccccc1)NC1N=C(c2ccccc2)c2ccccc2NC1=O,2
14761289,CHEMBL1472189,O=C(Cc1ccccc1)Nc1nc2ccccc2[nH]1,4
14761290,CHEMBL370492,c1ccc(Oc2c(-c3ccccc3)cnc3ccccc23)cc1,1
14761291,CHEMBL1857945,c1ccc(-c2ccn3nc(-c4ccccc4)cc3n2)cc1,5
14761292,CHEMBL2325704,c1cc(-c2nc(C3CC3)cc(N3CCOCC3)n2)c2cc[nH]c2c1,1
14761298,CHEMBL174107,C1=NC=NCN1c1ccccc1,1
14761299,CHEMBL2153435,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,1
14761300,CHEMBL1824832,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2ccccc2)c1,1
14761302,CHEMBL2181928,O=C1COc2ccc(N3CCOCC3c3ccccc3)nc2N1,5
14761311,CHEMBL1916273,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,2
14761312,CHEMBL191553,c1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,5
14761313,CHEMBL271703,c1ccc(CSc2ncc3nccnc3n2)cc1,4
14761314,CHEMBL2158829,c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,4
14761315,CHEMBL1917441,c1ccc(Sc2c[nH]c3ccccc23)cc1,1
14761316,CHEMBL98345,O=S(=O)(Nc1ccccc1)c1ccccc1,1
14761317,CHEMBL181913,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14761318,CHEMBL1778629,c1ccc(-c2ccccc2)cc1,4
14761319,CHEMBL1778625,c1ccc(-c2ccccc2)cc1,4
14761320,CHEMBL459353,O=C(c1ccco1)N(Cc1ccccc1)c1ccccc1,1
14761321,CHEMBL2171015,O=C(NS(=O)(=O)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1)c1ccccc1,3
14761322,CHEMBL379082,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14761323,CHEMBL560241,O=C(NCC1CCCCCC1)c1cccc(-c2cc[nH]n2)c1,3
14761331,CHEMBL894,c1ccccc1,5
14761340,CHEMBL1448843,O=C(CSc1ccccc1)N1CCN(C(=O)c2ccco2)CC1,5
14761341,CHEMBL1209915,c1ccc(C2=NNC(c3ccccc3)C2)cc1,2
14761343,CHEMBL2164678,O=C(NC1CC1)C1CCCCC1C(=O)N1CCc2[nH]c3ccccc3c2C1,4
14761348,CHEMBL2141746,O=S(=O)(c1cccnc1)N1CCCC1,2
14761349,CHEMBL203059,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,5
14761357,CHEMBL244521,O=c1c2cc(-c3ccccc3)ccc2ncn1CC1CCCNC1,4
14761363,CHEMBL392559,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(CN2CC3CC2CN3)c1,4
14761364,CHEMBL511115,c1cc(OC2CCCC2)cc(C2CCCCC2)c1,3
14761365,CHEMBL568904,c1cnc2sccc2c1,5
14761366,CHEMBL1778627,c1ccc(-c2ccccc2)cc1,4
14761367,CHEMBL1916269,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,4
14761368,CHEMBL1807826,O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,3
14761369,CHEMBL2207672,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,3
14761370,CHEMBL244183,c1cn(-c2ccc(Oc3cc(Oc4ccc5c(c4)OCO5)ncn3)cc2)cn1,2
14761371,CHEMBL243978,c1cn(-c2ccc(Oc3nccc(Oc4ccc5c(c4)OCO5)n3)cc2)cn1,4
14761372,CHEMBL360106,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
