Internal ID,canonical_smiles_rdkit,scaffold_group,outer_fold,is_sensitivity_member,has_target
Mol13,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,O=C(Nc1cccc(Oc2cc3[nH]c(-c4cnon4)nc3cn2)c1)c1ccc(OCCN2CCOCC2)cc1,3,True,True
Mol14,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,O=C1C=CC2C3=CC(=O)[C@H]4C(CCC5CCCC[C@H]54)C3CC[C@H]2C1,4,True,True
Mol15,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,c1cc(Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)ncn1,3,True,True
Mol16,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,O=C1Cc2ccccc2CCN1CCCNC[C@H]1Cc2ccccc21,2,True,True
Mol17,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,c1ccc2c(-c3ccc(CN4CCOCC4)cn3)c[nH]c2c1,3,True,True
Mol18,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,c1cc(N2CCc3[nH]c(C4CC4)nc3C2)n2ncnc2n1,1,True,True
Mol19,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,c1cncc(-c2ccc3c(c2)[nH]c2ccncc23)c1,4,True,True
Mol20,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,c1ccc2cc(-n3ccc4ccncc43)ncc2c1,3,True,True
Mol21,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1,4,False,True
Mol22,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,O=C(C1CC1)N1C2CCC1CN(c1ccnc(Nc3cn[nH]c3)n1)C2,2,True,True
Mol23,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,O=C(Nc1cc(Nc2cccc(-c3nc[nH]n3)c2)cnn1)C1CC1,1,False,True
Mol24,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,c1ccc(Oc2ccc(-c3cncnc3NCC3CCNCC3)cc2)cc1,1,True,True
Mol25,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,O=S(=O)(Nc1cscn1)c1ccc(Oc2ccccc2-c2cn[nH]c2)cc1,0,True,True
Mol26,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,O=c1[nH]c2ccccc2c(=O)n1-c1cccc(-c2cccc3[nH]c4c(c23)CCCC4)c1,2,True,True
Mol27,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,c1cc2c(-c3cnn(C4CCC4)c3)nc(-c3cn[nH]c3)cn2n1,1,False,True
Mol28,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,1,False,True
Mol29,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,O=C(c1ccc(Oc2ccccc2)cc1)c1c[nH]c2ncnc(N[C@@H]3CCCOC3)c12,0,False,True
Mol31,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,O=c1cc(-c2ccccc2)nc2n1CCS2,1,True,True
Mol32,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,c1ccc(Oc2nc(Nc3ccc(N4CCNCC4)cc3)nc3ccsc23)cc1,0,True,True
Mol33,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,O=c1n(-c2ccc(Oc3ccccc3)cc2)c2cncnc2n1[C@@H]1CCNC1,1,True,True
Mol34,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,c1ccc(Oc2ccc(-c3cc4n(n3)[C@H](C3CCNCC3)CCN4)cc2)cc1,1,True,True
Mol35,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,O=c1n(-c2ccc(Oc3ccccc3)cc2)c2cncnc2n1[C@H]1CCCNC1,0,True,True
Mol36,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,O=C(C=CCN1CCN(C2COC2)CC1)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3cncnc32)C1,3,True,True
Mol37,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,O=c1[nH]ncc2c(-c3ccc(Oc4ccccc4)cc3)cn([C@@H]3CCNC3)c12,1,True,True
Mol38,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,c1ccc(Oc2nc(Nc3ccc(N4CCNCC4)cc3)nc3[nH]ccc23)cc1,1,True,True
Mol39,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,O=C(c1ccccc1)N1CCc2c(nnn2-c2ncccn2)C1,2,False,True
Mol40,COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,O=C(Nc1cc(-c2ccccc2)n[nH]1)c1cccc(N2CCNC2=O)c1,0,True,True
Mol41,Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,O=C(c1ccccc1)N1CCCCC1c1ncncc1-c1ccccc1,0,True,True
Mol42,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,0,True,True
Mol43,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,c1ccc(-c2c[nH]nc2C2CCCN2Cc2ccc3ncccc3c2)cc1,0,True,True
Mol44,Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,c1ccc(Cn2cc(-c3ccncn3)c3ccncc32)cc1,4,True,True
Mol45,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,O=c1cc(-c2cc3cnccn3n2)nc2ccc(C3CCNCC3)cn12,2,False,True
Mol46,Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,O=C1NCCn2c1cc1ccccc12,1,True,True
Mol47,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,c1ccc(Oc2ccc(-c3nn([C@@H]4CCCNC4)c4ncncc34)cc2)cc1,4,True,True
Mol48,Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,c1ccc(OCCNCc2nnc[nH]2)cc1,0,True,True
Mol49,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,O=C(Nc1cccc(-c2cnc3n2CCC3)c1)c1cn[nH]c1,4,True,True
Mol50,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,c1ccc(Nc2ncnc(-c3ccccc3)n2)cc1,2,False,True
Mol51,Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,c1cnc(NC2CCN(Cc3cncs3)CC2)cn1,3,True,True
Mol52,Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,O=C(c1cccs1)N1CCC(Cc2ccccc2-c2ccccc2)CC1,0,True,True
Mol53,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,O=C(CN1CCN(c2ccc3ncc(Nc4nc(-c5ccccc5)cs4)n3c2)CC1)N1CCC1,3,True,True
Mol54,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1,4,False,True
Mol55,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,O=C(C1CCCO1)N1CCC(Cc2ccccc2-c2ccccc2)CC1,3,True,True
Mol56,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,O=C(c1ccccc1)N1CCCCC1c1ncncc1-c1ccccc1,0,True,True
Mol57,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,O=C(c1ccccc1)N1CCCCC1c1ncncc1-c1ccccc1,0,True,True
Mol58,O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,O=C1CN(c2ccc(Nc3ncccn3)cn2)CCN1,1,False,True
Mol59,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1,2,False,True
Mol60,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1,2,True,True
Mol61,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1,3,False,True
Mol62,C[C@@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@H](C)O1,O=C(CC(c1ccccc1)c1ccccc1)N1CCOCC1,3,True,True
Mol63,CN1[C@@H]2CC[C@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,c1ccc(C(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c2ccccc2)cc1,4,True,True
Mol64,CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,O=C(N1CCCC1)C1(Cc2ccc(-c3cccs3)cc2)CCNCC1,3,True,True
Mol65,OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,c1ccc(CNc2cncc(-c3ccc4[nH]ncc4n3)c2)cc1,2,True,True
Mol66,Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,O=C(c1cncs1)N1CCCCC1c1ncncc1-c1ccccc1,4,True,True
Mol67,OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,c1ccc(CN2CCCCC2)cc1,1,False,True
Mol68,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,c1nc(N2CCNCC2)c2ccsc2n1,0,True,True
Mol69,COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,O=C(Nc1ccc2cc[nH]c2c1)c1ccccc1,4,True,True
Mol70,c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,2,True,True
Mol71,COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,c1ccc(CN2CCC[C@H]3NC[C@H](c4ccccc4)[C@H]32)cc1,2,True,True
Mol72,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,c1ccc(Nc2ncnc3sccc23)cc1,1,False,True
Mol73,OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,c1ccc(-c2ccc(CN3CCCCC3)cc2)cc1,4,True,True
Mol74,Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,O=C(NC1CN(C(=O)C2CC2)C1)c1cncc2nc(-c3ccccc3)ccc12,1,False,True
Mol75,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,c1cc(-c2ccc(OC3CCNCC3)nn2)ccc1-c1cn[nH]c1,3,True,True
Mol76,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,c1ccc(-c2coc3ccc(-c4nnco4)cc23)cc1,3,False,True
Mol77,Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,O=C(c1cncs1)N1CCCCC1c1ncncc1-c1ccccc1,4,True,True
Mol78,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,1,True,True
Mol79,O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,O=C(CCNC(=O)c1ccccc1)N[C@@H]1CCCc2ccccc21,2,True,True
Mol80,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,3,True,True
Mol81,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,c1ccc(Oc2nc(Nc3ccc(N4CCNCC4)cc3)nc3ccoc23)cc1,2,True,True
Mol82,CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,O=S(=O)(Cc1ccccc1)N1CCNCC1,0,True,True
Mol83,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,3,False,True
Mol84,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,O=C(Nc1ccccc1)c1ccc(-n2nc[nH]c2=O)cc1,4,True,True
Mol85,CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,C(=C\c1ccc(C2CCCCC2)cc1)\CNC1CCCCC1,4,True,True
Mol86,NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,O=C(/C=C/CN1CCNCC1)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3cncnc32)C1,1,True,True
Mol87,Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,c1nc(N2CCc3[nH]c(C4CC4)nc3C2)c2sccc2n1,4,True,True
Mol88,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,3,True,True
Mol89,COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,O=C(Nc1cccc2cnccc12)c1cn[nH]c1,0,True,True
Mol90,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,c1ccc(CN2CCC(Cc3ccc(-c4ccncc4)cc3)C2)cc1,3,True,True
Mol91,Cc1ncc(CN2CCC(Nc3ccc4nnnn4n3)C(C)C2)s1,c1ncc(CN2CCC(Nc3ccc4nnnn4n3)CC2)s1,1,True,True
Mol92,Cc1nc(Nc2nccs2)cc(C2CN(c3ncccn3)C2)n1,c1cnc(N2CC(c3cc(Nc4nccs4)ncn3)C2)nc1,4,True,True
Mol93,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1Cl,c1ccc(Nc2ccnc3ccccc23)cc1,0,True,True
Mol94,COc1ccc(CCCN2CCN(c3cnn(C)c3)C(=O)C2)cc1F,O=C1CN(CCCc2ccccc2)CCN1c1cn[nH]c1,4,False,True
Mol95,Cc1noc(C(C)C)c1C(=O)N1CC(C)OC(c2ccccc2)C1,O=C(c1cnoc1)N1CCOC(c2ccccc2)C1,1,True,True
Mol96,CN(Cc1ccccc1)C1(C(=O)N2CCNC(=O)CC2)Cc2ccccc2C1,O=C1CCN(C(=O)C2(NCc3ccccc3)Cc3ccccc3C2)CCN1,3,True,True
Mol97,Cc1c(F)cccc1NC(=O)CN1[C@H](Cc2ccccc2)C[C@]2(C)NC(=O)CCC[C@H]12,O=C(CN1[C@H](Cc2ccccc2)CC2NC(=O)CCC[C@@H]21)Nc1ccccc1,0,True,True
Mol98,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)cc1,4,True,True
Mol99,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,3,False,True
Mol100,Cc1ccc(NC(=O)CN2[C@H](Cc3ccccc3)C[C@]3(C)NC(=O)CCC[C@H]23)cc1F,O=C(CN1[C@H](Cc2ccccc2)CC2NC(=O)CCC[C@@H]21)Nc1ccccc1,0,True,True
Mol101,CN(C)C(=O)C1(Cc2ccccc2-c2cccc(F)c2)CCN(C(=O)C2CC=CCC2)CC1,O=C(C1CC=CCC1)N1CCC(Cc2ccccc2-c2ccccc2)CC1,3,True,True
Mol102,COCC(=O)N1CCC(Cc2ccccc2-c2cccc(F)c2)(C(=O)NC(C)C)CC1,c1ccc(-c2ccccc2CC2CCNCC2)cc1,0,True,True
Mol103,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,O=C(NCc1ccccc1)c1cc2cccnc2s1,0,True,True
Mol104,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,c1ccc(NC2CCC2)nc1,0,True,True
Mol105,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,O=c1c2ccc(C3CC3)cc2ccn1-c1cccc(-c2ncnc(Nc3cn[nH]c3)n2)c1,3,False,True
Mol106,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2cnccn2)cc1,2,False,True
Mol107,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,c1ccc(CN2CCC(Cc3ccc(-c4cccnc4)cc3)C2)cc1,1,True,True
Mol108,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2cccc(F)c2)C1,c1ccc(CN2CCC(Cc3ccc(-c4cccnc4)cc3)C2)cc1,1,True,True
Mol109,CC(=O)Nc1ncc(CN2CCCC[C@@H]2C)s1,c1ncc(CN2CCCCC2)s1,2,False,True
Mol110,O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3F)N2C(=O)c2cccc3ncccc23)N1,O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3)N2C(=O)c2cccc3ncccc23)N1,1,True,True
Mol111,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,O=C(Cc1ccccc1)NCc1ccccc1N1CCCCC1,3,True,True
Mol112,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,C(#Cc1ccc2c(c1)N(c1ccncn1)CC2)Cc1nccs1,3,True,True
Mol113,COCCc1noc(CN2CC(c3ccccc3)(c3ccccc3)CCC2=O)n1,O=C1CCC(c2ccccc2)(c2ccccc2)CN1Cc1ncno1,4,True,True
Mol114,Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,O=C1CC2(CCCCC2)c2c[nH]nc2N1,0,True,True
Mol115,Cc1oc2ccccc2c1CNc1nnc(-c2ccncc2)o1,c1ccc2c(CNc3nnc(-c4ccncc4)o3)coc2c1,4,True,True
Mol116,O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,4,True,True
Mol117,C[C@@H]1Cc2ccccc2N1C(=O)Cn1nc(-c2cccc3ncccc23)oc1=O,O=C(Cn1nc(-c2cccc3ncccc23)oc1=O)N1CCc2ccccc21,0,True,True
Mol118,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,c1ncc2c(-c3cnc4[nH]ccc4c3)nn(C3CCCC3)c2n1,1,True,True
Mol119,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CC2)c1,1,True,True
Mol120,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,O=C(Nc1cccc(C2CS(=O)(=O)NC=N2)c1)c1ccccn1,1,False,True
Mol121,CC1CN(C(=O)c2cccnc2N2CCOCC2)CC(c2ccccc2)O1,O=C(c1cccnc1N1CCOCC1)N1CCOC(c2ccccc2)C1,4,True,True
Mol122,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,c1ccccc1,2,False,True
Mol123,Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,O=C(CN1CCCC(c2cc(Nc3cnccn3)ccn2)C1)N1CCCC1,0,True,True
Mol124,Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,O=C(CN1CCCC(c2cccc(Nc3ccccn3)n2)C1)Nc1nccs1,0,True,True
Mol125,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,O=C(c1cn[nH]c1)N1CCC(Cc2ccccc2-c2ccccc2)CC1,3,True,True
Mol126,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,O=C1CC(c2ccccc2)C2=C(CCCC2=O)N1,4,True,True
Mol127,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,O=C(Nc1cccnc1)c1cncc(-c2ccc(S(=O)(=O)N3CCNCC3)cc2)n1,4,True,True
Mol128,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,c1ccc(CN2CCC(Cc3ccc(-c4cccnc4)cc3)C2)cc1,1,True,True
Mol129,Cc1cc(N2CCCC2c2cc(CCC(=O)O)cc(C)n2)ncn1,c1ccc(C2CCCN2c2ccncn2)nc1,4,False,True
Mol130,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,c1ccccc1,2,False,True
Mol131,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,O=C(CN1CCCC(c2cccc(Cc3ccccc3)n2)C1)N1CCCC1,2,True,True
Mol132,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,c1ccc(Nc2ncnc3ccccc23)cc1,2,True,True
Mol133,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,O=C(NCc1ccccc1)c1cc2cccnc2s1,0,True,True
Mol134,COCCNC(=O)c1ccnc(C2CCNCC2)c1,c1ccc(C2CCNCC2)nc1,1,False,True
Mol135,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,O=C(NC1CC1)c1cc2cccnc2s1,0,True,True
Mol136,CC1(CNC(=O)c2cncc(C3CCNCC3)n2)CCCO1,O=C(NCC1CCCO1)c1cncc(C2CCNCC2)n1,3,False,True
Mol137,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,c1cc(N2CCCC2)nc(C2CCCNC2)n1,3,True,True
Mol138,O=C1NCCSc2c1sc1ccc(O)cc21,O=C1NCCSc2c1sc1ccccc21,3,True,True
Mol139,CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21,O=c1cc[nH]c2cc(NC3CCCCC3)ccc12,4,True,True
Mol140,CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,c1ccc(-c2ccccc2[C@@H](c2ccccc2)N2CCCCC2)cc1,2,True,True
Mol141,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,c1ccc(Oc2ccc3ccncc3c2)cc1,3,False,True
Mol142,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,c1cc(NC2CCC2)nc(Nc2ccc3c(c2)[C@H]2CC[C@@H]3N2)n1,2,True,True
