activity_id,smiles,standard_value,scaffold,split
CHEMBL1921946,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccn3)CCC1CC2)(c1ccccc1)N1CCCCC1,66.0,O=C(C[N+]12CCC(CC1)C(OC(=O)C(c1ccccc1)N1CCCCC1)C2)Nc1ccccn1,train
CHEMBL2158840,O=C(O)[C@H](Cc1cccc(F)c1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,8.0,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,test
CHEMBL272705,C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12,8.28,O=c1[nH]c2nc(SCc3ccco3)ncc2s1,train
CHEMBL2220442,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,8.33,c1ccc(-c2c[nH]c3ccccc23)cc1,train
CHEMBL1689123,CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,9.0,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,test
CHEMBL86276,Nc1nc(-c2ccccc2)nn1Cc1ccccc1,9.0,c1ccc(Cn2cnc(-c3ccccc3)n2)cc1,train
CHEMBL1778642,CS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,10.0,c1ccc(-c2ccccc2)cc1,test
CHEMBL495383,O=C(Nc1cccc(CCO)c1)c1cc2cc(Cl)ccc2[nH]1,10.0,O=C(Nc1ccccc1)c1cc2ccccc2[nH]1,train
CHEMBL180155,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,10.0,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,train
CHEMBL1213118,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1,72.0,c1ccc2nc(N3CCNCC3)c(Cn3nc(-c4ccc5ncsc5c4)c4cncnc43)cc2c1,train
CHEMBL1868126,COc1cccc2sc(NC(=O)c3ccccc3)nc12,74.0,O=C(Nc1nc2ccccc2s1)c1ccccc1,train
CHEMBL275224,c1ccc2c(c1)[nH]c1cnccc12,89.0,c1ccc2c(c1)[nH]c1cnccc12,train
CHEMBL1916085,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N(C)C3CCCCC3)cnn2-c2ccccc2)cc1,94.0,O=C(NC1CCCCC1)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccccc1,train
CHEMBL1536083,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,94.0,O=S(=O)(Nc1ccccc1)c1ccccc1,train
CHEMBL1921931,C[C@@](C(=O)O[C@H]1C[N+]2(CCOc3ccc(Cl)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,100.0,O=C(OC1C[N+]2(CCOc3ccccc3)CCC1CC2)C(c1ccccc1)N1CCCCC1,train
CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,104.71,O=C(CNC(=O)c1ccon1)CC(Cc1ccccc1)C(=O)NCCC1CCNC1=O,train
CHEMBL595134,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,114.82,O=C1C=C2C(=N1)c1cccc3c(N4CCSCC4)ccc2c13,train
CHEMBL314034,CSc1nc(-c2ccccc2)nn1Cc1ccccc1,116.0,c1ccc(Cn2cnc(-c3ccccc3)n2)cc1,train
CHEMBL379350,CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,120.23,O=c1ccc2ccccc2o1,train
CHEMBL2098332,Cc1cc(OCC(=O)Nc2ccccc2)c2cc(Br)ccc2n1,123.03,O=C(COc1ccnc2ccccc12)Nc1ccccc1,test
CHEMBL2170992,CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,125.89,O=C(NCCCSCC1CCC(n2cnc3cncnc32)O1)Nc1ccccc1,train
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,127.7,c1ccc(CCCCNCCc2ccccc2)cc1,test
CHEMBL1587607,O=C(Nc1ccccc1Cl)c1cc[nH]n1,138.04,O=C(Nc1ccccc1)c1cc[nH]n1,train
CHEMBL2171021,Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)c4cccc(S(C)(=O)=O)c4)CC3)CC2)c1Cl,13.5,O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,test
CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,3.0,O=c1cc[nH]c(=S)[nH]1,train
CHEMBL24646,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,14.0,O=C1CCC(c2ccc3[nH]c(-c4ccccc4)nc3c2)=NN1,train
CHEMBL2158774,Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,14.0,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,test
CHEMBL1916280,CCC(C)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,15.67,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,train
CHEMBL1672434,C[C@H]1C[C@@H](NS(=O)(=O)c2cc(Br)ccc2Br)CN1C#N,16.0,O=S(=O)(NC1CCNC1)c1ccccc1,train
CHEMBL393717,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl,11.0,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(N2CCNCC2)c1,train
CHEMBL383322,CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,3.0,c1ccc2c(c1)ncc1nc[nH]c12,train
CHEMBL1778644,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,3.0,c1ccc(-c2ccccc2)cc1,test
CHEMBL1789224,CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1,3.0,c1ccc(COc2ccccc2)cc1,train
CHEMBL2171023,O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,test
CHEMBL1778647,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C(F)(F)F)c1,4.0,c1ccc(-c2ccccc2)cc1,test
CHEMBL60088,N=C(N)c1cc2c(I)cccc2s1,4.0,c1ccc2sccc2c1,train
CHEMBL2171022,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,3.0,O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,test
CHEMBL1778645,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1,3.0,c1ccc(-c2ccccc2)cc1,test
CHEMBL2031236,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,3.0,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1cscn1,test
CHEMBL1917459,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,3.0,c1ccc(Oc2c[nH]c3ccccc23)cc1,train
CHEMBL1777822,Cc1ccc(C#N)cc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,3.0,c1ccc(-c2ccccc2)cc1,test
CHEMBL1689136,C[C@H]1CN(Cc2cc(Cl)ccc2CCC(=O)O)CCN1C(=O)Cc1ccccc1,3.0,O=C(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,train
CHEMBL91428,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,30.9,c1ccc2cc(Nc3ncnc4ccccc34)ncc2c1,valid
CHEMBL564885,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(NCC2CCNCC2)c1Cl,68.0,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(NCC2CCNCC2)c1,train
CHEMBL1800526,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,23.5,c1ccc(CCc2nc3cccnc3[nH]2)nc1,train
CHEMBL559078,CCCCC(CC)CNC(=O)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,24.0,O=c1cnn(-c2ccccc2)c(=O)[nH]1,train
CHEMBL551765,O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,24.0,O=C(NCC1CCCCCC1)c1cccc(-c2cccnc2N2CCCCC2)c1,train
CHEMBL1789274,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1,26.0,c1ccc(COc2ccccc2)cc1,train
CHEMBL1734492,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,27.54,c1ccc(CNc2ccc3c(c2)CCC3)cc1,train
CHEMBL1096435,CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1,29.51,O=C(Nc1nccs1)C(CC1CCCC1)c1ccccc1,valid
CHEMBL1091137,CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,33.88,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,train
CHEMBL1094250,Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O,34.67,O=C(NCCc1ccccc1)c1cccc2cc(-c3ccc4c(C(=O)NCCc5ccccc5)cccc4c3)ccc12,test
CHEMBL2216859,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,35.48,c1cc(-c2cc(-c3ncc(CN4CCNCC4)o3)c3cn[nH]c3c2)c2cc[nH]c2c1,train
CHEMBL1299757,Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl,37.15,c1ccc(Cc2cnc(-c3ccccn3)nc2)cc1,train
CHEMBL1916086,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NCc3ccccc3)cnn2-c2ccccc2)cc1,150.0,O=C(NCc1ccccc1)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccccc1,valid
CHEMBL1938400,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,150.0,O=C(NCc1ccccc1Sc1ccc2nnc(-c3ccccc3)n2c1)Nc1ccnn1-c1ccccc1,test
CHEMBL1922055,C[C@@](C(=O)O[C@H]1C[N+]2(Cc3cc(-c4ccccc4)on3)CCC1CC2)(c1ccccc1)N1CCCCC1,150.0,O=C(OC1C[N+]2(Cc3cc(-c4ccccc4)on3)CCC1CC2)C(c1ccccc1)N1CCCCC1,train
CHEMBL383669,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,150.0,O=C(c1c(Cc2ccccc2)sc2[nH]c(=O)[nH]c(=O)c12)N1CCCC1,test
CHEMBL1874317,N#CCC(CNc1ncc(C(F)(F)F)cc1Cl)OC(=O)c1c(F)cccc1F,150.0,O=C(OCCNc1ccccn1)c1ccccc1,train
CHEMBL1573309,CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21,71.0,c1ccc2c(c1)[nH]c1ccncc12,train
CHEMBL2171013,Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,10.0,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,train
CHEMBL1916289,Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,10.0,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,train
CHEMBL1865796,Cc1ccccc1Nc1nc(N)nc(C)c1Br,150.0,c1ccc(Nc2ccncn2)cc1,train
CHEMBL521809,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(c2ncccn2)CC1,150.0,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(c2ncccn2)CC1,train
CHEMBL1807824,CCc1ccc(CCNCCCSCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,68.0,O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,train
CHEMBL2171014,Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)NS(=O)(=O)c4ccc(N(C)C)cc4)CC3)CC2)c1Cl,9.0,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,train
CHEMBL2164678,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)CC1,12.5,O=C(NC1CC1)C1CCCCC1C(=O)N1CCc2[nH]c3ccccc3c2C1,test
CHEMBL1916273,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC(C)C)c(C)nn2-c2ccccc2)cc1,12.0,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,train
CHEMBL560219,O=C(Cc1ccc(Cl)c(C(F)(F)F)c1)Nc1cccc2c(=O)n(CCO)ccc12,3.0,O=C(Cc1ccccc1)Nc1cccc2c(=O)[nH]ccc12,test
CHEMBL1204759,Cc1nn(-c2ccccc2)c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N,3.0,O=C(Nc1ccnn1-c1ccccc1)NS(=O)(=O)c1ccccc1,train
CHEMBL272551,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,64.0,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,test
CHEMBL1783119,COc1ccc(C(=O)NCc2cn(-c3cc(C)nc4ccc(OC)cc34)nn2)cc1,64.57,O=C(NCc1cn(-c2ccnc3ccccc23)nn1)c1ccccc1,train
CHEMBL196707,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,5.0,O=S(=O)(c1ccccc1)n1ccc2ccccc21,train
CHEMBL1290183,O=C(c1ccccc1)N1CCC2(CCN(Cc3cccc(Cl)c3)CC2)CC1,5.0,O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,train
CHEMBL1916288,Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C#N)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,5.0,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,train
CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,5.25,O=c1oc2ccccc2cc1Cc1ccccc1,train
CHEMBL106309,O=C(O)CCCCCCc1ccc(Cc2ccc3ccccc3n2)cc1,5.37,c1ccc(Cc2ccc3ccccc3n2)cc1,valid
CHEMBL1173055,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,5.5,O=C1NCCc2c(-c3ccccc3)[nH]c3cccc1c23,train
CHEMBL1829174,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,5.5,c1ccc(-c2cccc(COc3ccc4c(c3)OCC4)c2)cc1,test
CHEMBL2171043,O=C(NS(=O)(=O)c1cccc(Cl)c1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,6.0,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,train
CHEMBL382435,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(Cl)c2)CC1,6.5,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,train
CHEMBL2163360,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ncccc4c3C2)CC1,7.0,O=C(NC1CC1)C1CCCCC1C(=O)N1CCc2[nH]c3ncccc3c2C1,train
CHEMBL1363924,CCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1cccnc1,7.76,O=C(CSc1nnc(-c2cccnc2)[nH]1)Nc1ccon1,train
CHEMBL1916274,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3)c(C)nn2-c2ccccc2)cc1,38.0,O=C(NC1CCCCC1)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccccc1,train
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,8.0,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,train
CHEMBL552513,O=C(Cc1ccc(F)c(C(F)(F)F)c1)Nc1cccc2c(=O)n([C@@H]3CNC[C@H]3O)ccc12,8.0,O=C(Cc1ccccc1)Nc1cccc2c(=O)n(C3CCNC3)ccc12,test
CHEMBL1917427,Cc1c(F)ccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,3.0,c1ccc(Sc2c[nH]c3ccccc23)cc1,valid
CHEMBL244936,Cc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,3.0,O=c1c2cc(-c3ccccc3)ccc2ncn1CC1CCCNC1,test
CHEMBL244184,Cc1cnc(Oc2ccc(-n3ccnc3)cc2)nc1Oc1ccc2c(c1)OCO2,3.0,c1cn(-c2ccc(Oc3nccc(Oc4ccc5c(c4)OCO5)n3)cc2)cn1,test
CHEMBL309339,O=C(NO)c1ccccc1O,3.0,c1ccccc1,train
CHEMBL1208,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,3.0,O=c1cn[nH]c2cc3c(cc12)OCO3,train
CHEMBL2335901,C[C@@H](NC(=O)C1CCNCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,4.17,O=C(NCc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1)C1CCNCC1,train
CHEMBL2059909,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,3.0,c1cncc(-c2ccc3ncnn3c2)c1,train
CHEMBL2171050,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(F)c(F)c4)CC3)CC2)cc1,3.0,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,train
CHEMBL1043,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,3.0,O=S(=O)(c1ccccc1)c1ccccc1,test
CHEMBL1917444,COc1ccc(Sc2c(C)n(CC(=O)O)c3ccc(C)cc23)cc1,3.0,c1ccc(Sc2c[nH]c3ccccc23)cc1,valid
CHEMBL1689137,C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1S(=O)(=O)Cc1ccccc1,3.0,O=S(=O)(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,train
CHEMBL2171215,O=C(NS(=O)(=O)Cc1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,O=C(NS(=O)(=O)Cc1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,train
CHEMBL2158816,O=C(O)C(c1ccccc1)N1CCCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)C1,3.0,c1ccc(CN2CCCC(CN3CCC(Oc4ccccc4)CC3)C2)cc1,train
CHEMBL578288,N#CN=C(N)c1sc(Nc2ccccc2)nc1N,3.0,c1ccc(Nc2nccs2)cc1,test
CHEMBL2171039,O=C(NS(=O)(=O)c1ccccc1Cl)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,train
CHEMBL1778635,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,3.0,c1ccc(-c2ccccc2)cc1,test
CHEMBL402728,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,3.0,O=c1[nH]c2nc(SCc3cscn3)ncc2s1,test
CHEMBL1975242,O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1,3.0,O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1,train
CHEMBL1917435,CNC(=O)c1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,3.0,c1ccc(Sc2c[nH]c3ccccc23)cc1,valid
CHEMBL153370,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NCC#N,3.0,C1COCCN1,train
CHEMBL1789148,CCC(CCNC)Oc1cc(Cl)ccc1C#N,3.0,c1ccccc1,train
CHEMBL1689122,CC1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cc(Cl)ccc1OCC(=O)O,3.0,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,test
CHEMBL1916272,CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,23.6,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,train
CHEMBL2107366,Cc1cccc([C@H](C)c2c[nH]c(=S)[nH]2)c1C,24.55,S=c1[nH]cc(Cc2ccccc2)[nH]1,train
