canonical_smiles_rdkit,evidence_label,hh_activity_ids,hh_molecule_ids,hlm_activity_ids,hlm_molecule_ids,multiple_rows_or_ids,shares_molecule_id
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,OBSERVED,[14769713],"[""CHEMBL1232461""]",[14762241],"[""CHEMBL1232461""]",False,True
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,OBSERVED,[14764314],"[""CHEMBL20210""]",[14765461],"[""CHEMBL20210""]",False,True
CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)[C@H]1c1cccc2c(=O)cc(C)oc12,OBSERVED,[14764370],"[""CHEMBL2181926""]",[14766486],"[""CHEMBL2181926""]",False,True
CCOc1ccc2nc(N)sc2c1,OBSERVED,[14761329],"[""CHEMBL565755""]",[14762416],"[""CHEMBL565755""]",False,True
CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,OBSERVED,[14759781],"[""CHEMBL2181927""]",[14765435],"[""CHEMBL2181927""]",False,True
CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12,OBSERVED,[14763392],"[""CHEMBL2062774""]",[14763407],"[""CHEMBL2062774""]",False,True
CCS(=O)(=O)CCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2,OBSERVED,[14769800],"[""CHEMBL1761322""]",[14758923],"[""CHEMBL1761322""]",False,True
CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,OBSERVED,[14769794],"[""CHEMBL1917459""]",[14758824],"[""CHEMBL1917459""]",False,True
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,OBSERVED,[14769696],"[""CHEMBL1778639""]",[14769825],"[""CHEMBL1778639""]",False,True
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,OBSERVED,[14769698],"[""CHEMBL1778644""]",[14769858],"[""CHEMBL1778644""]",False,True
CCS(=O)(=O)c1ccc(Oc2c(C)n(CC(=O)O)c3ccc(C(F)(F)F)cc23)cc1,OBSERVED,[14769796],"[""CHEMBL1917458""]",[14758833],"[""CHEMBL1917458""]",False,True
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,OBSERVED,[14769731],"[""CHEMBL1144""]",[14769834],"[""CHEMBL1144""]",False,True
CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,OBSERVED,[14759838],"[""CHEMBL380732""]",[14764494],"[""CHEMBL380732""]",False,True
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,OBSERVED,[14759844],"[""CHEMBL2216870""]",[14763245],"[""CHEMBL2216870""]",False,True
CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,OBSERVED,[14764291],"[""CHEMBL370492""]",[14761290],"[""CHEMBL370492""]",False,True
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,OBSERVED,[14759889],"[""CHEMBL217899""]",[14763251],"[""CHEMBL217899""]",False,True
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,OBSERVED,[14758941],"[""CHEMBL5""]",[14758984],"[""CHEMBL5""]",False,True
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,OBSERVED,[14762216],"[""CHEMBL841""]",[14764371],"[""CHEMBL841""]",False,True
CN(C)CCCN1c2ccccc2CCc2ccccc21,OBSERVED,[14759867],"[""CHEMBL11""]",[14761385],"[""CHEMBL11""]",False,True
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,OBSERVED,[14762251],"[""CHEMBL71""]",[14763501],"[""CHEMBL71""]",False,True
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,OBSERVED,[14760011],"[""CHEMBL12610""]",[14762357],"[""CHEMBL12610""]",False,True
CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,OBSERVED,[14764356],"[""CHEMBL403313""]",[14761158],"[""CHEMBL403313""]",False,True
CN(C)c1nc(Cc2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)nc(N(C)C)c1CC(=O)O,OBSERVED,[14759772],"[""CHEMBL551813""]",[14769826],"[""CHEMBL551813""]",False,True
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,OBSERVED,[14759920],"[""CHEMBL12""]",[14759874],"[""CHEMBL12""]",False,True
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,OBSERVED,[14759949],"[""CHEMBL42""]",[14762281],"[""CHEMBL42""]",False,True
CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1,OBSERVED,[14760006],"[""CHEMBL1213118""]",[14765332],"[""CHEMBL1213118""]",False,True
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,OBSERVED,[14769746],"[""CHEMBL1790041""]",[14769833],"[""CHEMBL1790041""]",False,True
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,OBSERVED,[14758955],"[""CHEMBL451""]",[14759875],"[""CHEMBL451""]",False,True
CNCCCN1c2ccccc2CCc2ccccc21,OBSERVED,[14759954],"[""CHEMBL72""]",[14761250],"[""CHEMBL72""]",False,True
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],OBSERVED,[14763257],"[""CHEMBL193""]",[14766487],"[""CHEMBL193""]",False,True
COC[C@@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,OBSERVED,[14769707],"[""CHEMBL1779512""]",[14760001],"[""CHEMBL1779512""]",False,True
COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OC[C@H](OP(=O)(O)O)C1CC1,OBSERVED,[14761338],"[""CHEMBL2147475""]",[14769860],"[""CHEMBL2147475""]",False,True
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,OBSERVED,[14758929],"[""CHEMBL2017291""]",[14760008],"[""CHEMBL2017291""]",False,True
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,OBSERVED,[14763327],"[""CHEMBL6966""]",[14765524],"[""CHEMBL6966""]",False,True
COc1ccc(CNC(=O)CSc2nc3cccnc3s2)cc1,OBSERVED,[14764482],"[""CHEMBL1575409""]",[14766544],"[""CHEMBL1575409""]",False,True
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,OBSERVED,[14758957],"[""CHEMBL1363""]",[14761168],"[""CHEMBL1363""]",False,True
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,OBSERVED,[14762249],"[""CHEMBL472""]",[14763250],"[""CHEMBL472""]",False,True
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,OBSERVED,[14761195],"[""CHEMBL23""]",[14764354],"[""CHEMBL23""]",False,True
COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,OBSERVED,[14762429],"[""CHEMBL570015""]",[14766493],"[""CHEMBL570015""]",False,True
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,OBSERVED,[14764307],"[""CHEMBL2018969""]",[14764395],"[""CHEMBL2018969""]",False,True
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@@H]2COCCN2)c1,OBSERVED,[14762423],"[""CHEMBL2326624""]",[14764310],"[""CHEMBL2326624""]",False,True
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@H]2COCCN2)c1,OBSERVED,[14762301],"[""CHEMBL2326623""]",[14764469],"[""CHEMBL2326623""]",False,True
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(C)=O)c1,OBSERVED,[14766469],"[""CHEMBL2018964""]",[14764357],"[""CHEMBL2018964""]",False,True
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,OBSERVED,[14763329],"[""CHEMBL723""]",[14764325],"[""CHEMBL723""]",False,True
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,OBSERVED,[14759788],"[""CHEMBL957""]",[14762282],"[""CHEMBL957""]",False,True
COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,OBSERVED,[14769755],"[""CHEMBL1800528""]",[14758740],"[""CHEMBL1800528""]",False,True
COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,OBSERVED,[14758927],"[""CHEMBL1800526""]",[14763273],"[""CHEMBL1800526""]",False,True
C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCO)(c2ccc(F)cc2)OC1=O,OBSERVED,[14758950],"[""CHEMBL1829763""]",[14762244],"[""CHEMBL1829763""]",False,True
C[C@H](CO)Nc1nc(SCc2cccc(Cl)c2F)nc2[nH]c(=O)sc12,OBSERVED,[14762407],"[""CHEMBL403225""]",[14761150],"[""CHEMBL403225""]",False,True
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)cnc12,OBSERVED,[14763268],"[""CHEMBL256668""]",[14759923],"[""CHEMBL256668""]",False,True
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]ncc12,OBSERVED,[14762350],"[""CHEMBL257025""]",[14762232],"[""CHEMBL257025""]",False,True
C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,OBSERVED,[14762398],"[""CHEMBL402986""]",[14758973],"[""CHEMBL402986""]",False,True
C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2[nH]c(=O)sc12,OBSERVED,[14763401],"[""CHEMBL271012""]",[14769803],"[""CHEMBL271012""]",False,True
C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2nc(N)sc12,OBSERVED,[14759870],"[""CHEMBL232846""]",[14761134],"[""CHEMBL232846""]",False,True
C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12,OBSERVED,[14763351],"[""CHEMBL272705""]",[14761135],"[""CHEMBL272705""]",False,True
C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c1ccc(O)c(CO)c1,OBSERVED,[14763247],"[""CHEMBL402501""]",[14765531],"[""CHEMBL402501""]",False,True
C[C@H](Nc1nc(Nc2cc(C3CC3)[nH]n2)cnc1C#N)c1ccc(F)cn1,OBSERVED,[14760019],"[""CHEMBL578194""]",[14762345],"[""CHEMBL578194""]",False,True
C[C@H](Oc1ccc(Cl)cc1CN1CCN(C(=O)Cc2ccc(Cl)cc2)[C@@H](C)C1)C(=O)O,OBSERVED,[14759782],"[""CHEMBL1689133""]",[14758773],"[""CHEMBL1689133""]",False,True
C[C@H](c1nc2ncccc2c(=O)n1-c1ccc(Cl)cc1)N(CC1CCS(=O)(=O)CC1)C(=O)Cc1ccc(C(F)(F)F)c(F)c1,OBSERVED,[14759834],"[""CHEMBL1939560""]",[14759847],"[""CHEMBL1939560""]",False,True
C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,OBSERVED,[14762209],"[""CHEMBL1689135""]",[14758864],"[""CHEMBL1689135""]",False,True
C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1S(=O)(=O)Cc1ccccc1,OBSERVED,[14761151],"[""CHEMBL1689137""]",[14758852],"[""CHEMBL1689137""]",False,True
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,OBSERVED,[14769783],"[""CHEMBL1689128""]",[14769849],"[""CHEMBL1689128""]",False,True
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(F)cc1,OBSERVED,[14769789],"[""CHEMBL1689127""]",[14769877],"[""CHEMBL1689127""]",False,True
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1,OBSERVED,[14769697],"[""CHEMBL1689126""]",[14769842],"[""CHEMBL1689126""]",False,True
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,OBSERVED,[14769792],"[""CHEMBL1689119""]",[14759819],"[""CHEMBL1689119""]",False,True
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,OBSERVED,[14759941],"[""CHEMBL1463345""]",[14762253],"[""CHEMBL1463345""]",False,True
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,OBSERVED,[14769740],"[""CHEMBL1900528""]",[14769818],"[""CHEMBL1900528""]",False,True
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,OBSERVED,[14762349],"[""CHEMBL46740""]",[14764289],"[""CHEMBL46740""]",False,True
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,OBSERVED,[14763375],"[""CHEMBL408""]",[14764391],"[""CHEMBL408""]",False,True
Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,OBSERVED,[14760015],"[""CHEMBL196707""]",[14759805],"[""CHEMBL196707""]",False,True
Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,OBSERVED,[14758992],"[""CHEMBL560993""]",[14769827],"[""CHEMBL560993""]",False,True
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,OBSERVED,[14758952],"[""CHEMBL1088752""]",[14759955],"[""CHEMBL1088752""]",False,True
Cc1c(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(C#N)c1Cl,OBSERVED,[14769785],"[""CHEMBL2158785""]",[14759863],"[""CHEMBL2158785""]",False,True
Cc1c(Oc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,OBSERVED,[14769757],"[""CHEMBL1917456""]",[14758765],"[""CHEMBL1917456""]",False,True
Cc1c(S(=O)(=O)c2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,OBSERVED,[14769759],"[""CHEMBL1917450""]",[14758820],"[""CHEMBL1917450""]",False,True
Cc1cc(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)nn1C[C@H](O)CN,OBSERVED,[14769787],"[""CHEMBL1852508""]",[14769871],"[""CHEMBL1852508""]",False,True
Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,OBSERVED,[14761257],"[""CHEMBL1929039""]",[14762252],"[""CHEMBL1929039""]",False,True
Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1,OBSERVED,[14769714],"[""CHEMBL2158793""]",[14769836],"[""CHEMBL2158793""]",False,True
Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,OBSERVED,[14769778],"[""CHEMBL2158792""]",[14769837],"[""CHEMBL2158792""]",False,True
Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,OBSERVED,[14759843],"[""CHEMBL1829174""]",[14759862],"[""CHEMBL1829174""]",False,True
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,OBSERVED,[14764340],"[""CHEMBL103667""]",[14765516],"[""CHEMBL103667""]",False,True
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,OBSERVED,[14761187],"[""CHEMBL1020""]",[14758972],"[""CHEMBL1020""]",False,True
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,OBSERVED,[14764528],"[""CHEMBL457""]",[14763394],"[""CHEMBL457""]",False,True
Cc1ccc(N2CC(COc3ccc(-c4noc(C)n4)cc3)C2)nn1,OBSERVED,[14763332],"[""CHEMBL1835918""]",[14763330],"[""CHEMBL1835918""]",False,True
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,OBSERVED,[14759958],"[""CHEMBL1916282""]",[14764305],"[""CHEMBL1916282""]",False,True
Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,OBSERVED,[14769758],"[""CHEMBL1917443""]",[14758787],"[""CHEMBL1917443""]",False,True
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,OBSERVED,[14761145],"[""CHEMBL583042""]",[14763311],"[""CHEMBL583042""]",False,True
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,OBSERVED,[14759965],"[""CHEMBL1164729""]",[14758721],"[""CHEMBL1164729""]",False,True
Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,OBSERVED,[14758930],"[""CHEMBL402728""]",[14758786],"[""CHEMBL402728""]",False,True
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,OBSERVED,[14769741],"[""CHEMBL46""]",[14759937],"[""CHEMBL46""]",False,True
Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C#N)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,OBSERVED,[14769705],"[""CHEMBL1916288""]",[14759811],"[""CHEMBL1916288""]",False,True
Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,OBSERVED,[14769701],"[""CHEMBL1916289""]",[14761228],"[""CHEMBL1916289""]",False,True
Cc1nn(-c2ccccc2)c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N,OBSERVED,[14769727],"[""CHEMBL1204759""]",[14769889],"[""CHEMBL1204759""]",False,True
Cc1nn(C2CCOCC2)c(NS(=O)(=O)c2ccc(C3CC3)cc2)c1C(=O)N[C@@H](C)C(C)(C)C,OBSERVED,[14769779],"[""CHEMBL1934426""]",[14769840],"[""CHEMBL1934426""]",False,True
Cc1noc(C)c1-c1ccc(CNS(=O)(=O)c2c(C)noc2C)cc1,OBSERVED,[14762393],"[""CHEMBL1645392""]",[14764483],"[""CHEMBL1645392""]",False,True
Clc1ccccc1CN1CCc2sccc2C1,OBSERVED,[14764457],"[""CHEMBL833""]",[14763475],"[""CHEMBL833""]",False,True
Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,OBSERVED,[14769704],"[""CHEMBL1355736""]",[14759791],"[""CHEMBL1355736""]",False,True
