action_type,activity_comment,activity_id,activity_properties,assay_cell_type,assay_chembl_id,assay_description,assay_organism,assay_strain,assay_subcellular_fraction,assay_tax_id,assay_tissue,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,canonical_smiles_rdkit,cell_chembl_id,clogp,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,dummy_atom_count,fraction_csp3,fragment_count,hba,hbd,ligand_efficiency,measurement_audit,modality,molecular_weight,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,raw_filename,raw_identifier,raw_smiles,raw_target,record_id,relation,rotatable_bonds,source,source_row_1based,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,structure_error,structure_status,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,tissue_chembl_id,toid,tpsa,type,undefined_stereo_elements,units,uo_units,upper_value,value
,,14758732,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,,1.4502999999999995,,,CHEMBL3301361,,,0,0.26666666666666666,1,7,2,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,346.41600000000005,CHEMBL2059909,,CHEMBL2059909,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2059909,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,3.0,2131359,<,3,CHEMBL3301370,11,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,115.27,CLint,0,microL/min/mg,,,3.0
,,14758733,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,,1.6193999999999995,,,CHEMBL3301361,,,0,0.29411764705882354,1,7,3,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,403.46800000000013,CHEMBL2059910,,CHEMBL2059910,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2059910,CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,3.0,2131353,<,4,CHEMBL3301370,12,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,130.38,CLint,0,microL/min/mg,,,3.0
,,14758734,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,1.2575999999999998,,,CHEMBL3301361,,,0,0.2857142857142857,1,7,2,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,290.32300000000004,CHEMBL22,TRIMETHOPRIM,CHEMBL22,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,3.0,2127737,<,5,CHEMBL3301370,13,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,105.51,CLint,0,microL/min/mg,,,3.0
,,14758735,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,5.308200000000006,,,CHEMBL3301361,,,0,0.3870967741935484,1,4,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,533.7380000000002,CHEMBL182380,,CHEMBL182380,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL182380,CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.0,2129759,<,10,CHEMBL3301370,14,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,69.72,CLint,0,microL/min/mg,,,3.0
,,14758736,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,C[C@@H](C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,C[C@@H](C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,,2.2305,,,CHEMBL3301361,,,0,0.5625,1,5,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,394.415,CHEMBL190243,,CHEMBL190243,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL190243,C[C@@H](C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,3.0,2130907,<,7,CHEMBL3301370,15,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,75.71000000000001,CLint,0,microL/min/mg,,,3.0
,,14758737,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1,CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1,,2.0907799999999996,,,CHEMBL3301361,,,0,0.34615384615384615,1,8,3,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,559.0440000000002,CHEMBL2207670,,CHEMBL2207670,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2207670,CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1,3.0,2132246,<,8,CHEMBL3301370,16,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,152.58999999999997,CLint,0,microL/min/mg,,,3.0
,,14758738,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,5.244500000000006,,,CHEMBL3301361,,,0,0.5,1,4,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,491.4590000000003,CHEMBL2158836,,CHEMBL2158836,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2158836,O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,2132231,<,8,CHEMBL3301370,17,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,53.010000000000005,CLint,0,microL/min/mg,,,3.0
,,14758739,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=C(O)c1ccccc1CN1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O=C(O)c1ccccc1CN1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,5.447000000000006,,,CHEMBL3301361,,,0,0.48,1,4,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,477.43200000000024,CHEMBL2158831,,CHEMBL2158831,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2158831,O=C(O)c1ccccc1CN1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,2131958,<,7,CHEMBL3301370,18,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,53.010000000000005,CLint,0,microL/min/mg,,,3.0
,,14758740,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,,2.45512,,,CHEMBL3301361,,,0,0.26666666666666666,1,4,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,268.32,CHEMBL1800528,,CHEMBL1800528,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL1800528,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,3.0,2132902,<,4,CHEMBL3301370,19,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,63.690000000000005,CLint,0,microL/min/mg,,,3.0
,,14758741,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,,4.452900000000003,,,CHEMBL3301361,,,0,0.16666666666666666,1,5,0,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,340.333,CHEMBL379866,,CHEMBL379866,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL379866,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,3.0,2133131,<,3,CHEMBL3301370,20,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,56.22,CLint,0,microL/min/mg,,,3.0
,,14758742,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,4.399500000000004,,,CHEMBL3301361,,,0,0.43478260869565216,1,5,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,512.4590000000004,CHEMBL2171033,,CHEMBL2171033,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2171033,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,2130670,<,5,CHEMBL3301370,21,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,78.95,CLint,0,microL/min/mg,,,3.0
,,14758743,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,,3.019560000000001,,,CHEMBL3301361,,,0,0.3684210526315789,1,6,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,353.42600000000004,CHEMBL1399574,,CHEMBL1399574,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL1399574,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,3.0,2131837,<,6,CHEMBL3301370,22,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,81.41,CLint,0,microL/min/mg,,,3.0
,,14758744,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,5.374500000000006,,,CHEMBL3301361,,,0,0.48,1,4,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,477.43200000000024,CHEMBL2158821,,CHEMBL2158821,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL2158821,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,3.0,2132326,<,7,CHEMBL3301370,23,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,53.010000000000005,CLint,0,microL/min/mg,,,3.0
